condition,wandb_id,mode,dataset,behaviour,coarse,alive_steps,alive_s,reward_per_step,n_terminations,hazard_per_s,rtps_root_pos,rtps_root_quat,rtps_joints,rtps_joints_vel,rtps_bodies_pos,rtps_end_eff,rtps_torso_z_range,rtps_control_cost,rtps_control_diff_cost,rtps_energy_cost,err_root_pos_m,err_root_angular_deg,err_joint_l2,err_joint_vel_l2,err_body_total_m,err_body_end_eff_m
pos_nointent,9hyirkcx,position,new_eval,RearHigh,rear,640,6.4,2.143639,8,1.25,0.240983,0.495798,0.422718,0.0,0.0,0.086996,1.0,-0.098408,-0.000717,-0.003731,0.069029,24.109947,1.863901,10.01783,0.234527,0.128589
pos_nointent,9hyirkcx,position,new_eval,RearLow,rear,331,3.31,1.520559,0,0.0,0.281046,0.044961,0.283426,0.0,0.0,2.2e-05,1.0,-0.087388,-5e-06,-0.001503,0.057498,50.516258,2.228088,5.553388,0.368219,0.195082
pos_nointent,9hyirkcx,position,new_eval,RearMid,rear,1324,13.24,1.891616,1,0.075529,0.310452,0.298259,0.353912,0.0,0.0,0.020916,1.0,-0.089312,-0.000394,-0.002217,0.057794,34.539337,2.03509,14.178697,0.293249,0.161711
pos_nointent,9hyirkcx,position,new_eval,Walk,locomote,1178,11.78,2.567687,10,0.848896,0.454045,0.655839,0.485324,0.0,0.0,0.07739,1.0,-0.096612,-0.001876,-0.006422,0.047772,19.21806,1.692531,21.473747,0.236263,0.131923
pos_nointent,9hyirkcx,position,new_eval,WalkFast,locomote,188,1.88,2.311431,7,3.723404,0.305514,0.636548,0.45458,0.0,0.0,0.014295,1.0,-0.094497,-0.001378,-0.003631,0.061115,20.435366,1.77307,34.074417,0.313792,0.171113
pos_noproprio_eff0,23267t68,position,new_eval,Amble,locomote,7332,73.32,3.419349,3,0.040917,0.878283,0.926382,0.450923,0.0,0.0,0.303276,0.999045,-0.114662,-0.012703,-0.011195,0.016227,6.302268,1.79777,15.14054,0.115304,0.064904
pos_noproprio_eff0,23267t68,position,new_eval,AmbleGroom,groom,164,1.64,3.439673,0,0.0,0.919187,0.933836,0.43789,0.0,0.0,0.293204,1.0,-0.114011,-0.012925,-0.017509,0.012601,6.392452,1.814571,28.096554,0.107281,0.0603
pos_noproprio_eff0,23267t68,position,new_eval,FaceGroom,groom,343,3.43,3.731455,0,0.0,0.937495,0.967171,0.53528,0.0,0.0,0.429011,1.0,-0.117705,-0.009215,-0.010581,0.011568,4.242645,1.56922,13.270283,0.078699,0.045584
pos_noproprio_eff0,23267t68,position,new_eval,ProneSlow,still,4716,47.16,3.327595,0,0.0,0.879816,0.893954,0.415877,0.0,0.0,0.277687,0.993851,-0.113447,-0.01187,-0.008272,0.016003,7.834174,1.891026,9.683677,0.121008,0.070063
pos_noproprio_eff0,23267t68,position,new_eval,ProneSniff,still,10078,100.78,3.462334,0,0.0,0.870386,0.890341,0.493256,0.0,0.0,0.356786,0.98591,-0.115355,-0.010489,-0.008502,0.016538,8.0909,1.688573,9.323184,0.109051,0.062205
pos_noproprio_eff0,23267t68,position,new_eval,ProneStill,still,2326,23.26,3.371596,1,0.042992,0.907413,0.874146,0.424749,0.0,0.0,0.299907,0.99828,-0.113092,-0.012039,-0.00777,0.013625,8.57329,1.846732,8.026381,0.111395,0.064295
pos_noproprio_eff0,23267t68,position,new_eval,RearDown,rear,190,1.9,2.268557,2,1.052632,0.519259,0.560668,0.336498,0.0,0.0,0.082839,0.905263,-0.08793,-0.018708,-0.02933,0.044525,24.805374,2.099148,28.010771,0.266083,0.141516
pos_noproprio_eff0,23267t68,position,new_eval,RearHigh,rear,1487,14.87,2.400265,9,0.605245,0.443131,0.756817,0.289402,0.0,0.0,0.088142,0.957633,-0.081471,-0.019665,-0.033724,0.048996,14.397487,2.273321,18.005512,0.270322,0.147789
pos_noproprio_eff0,23267t68,position,new_eval,RearLow,rear,289,2.89,2.078658,0,0.0,0.437625,0.481866,0.289314,0.0,0.0,1e-06,0.975779,-0.081596,-0.013327,-0.011004,0.048297,25.938101,2.213466,10.000909,0.333274,0.186884
pos_noproprio_eff0,23267t68,position,new_eval,RearMid,rear,1383,13.83,2.598046,3,0.21692,0.634281,0.647452,0.34892,0.0,0.0,0.131063,0.966016,-0.089085,-0.017352,-0.023248,0.03385,19.697927,2.074258,19.339575,0.229881,0.126828
pos_noproprio_eff0,23267t68,position,new_eval,Walk,locomote,4863,48.63,3.14246,9,0.185071,0.796605,0.920985,0.364281,0.0,0.0,0.221437,0.993831,-0.1161,-0.018609,-0.019969,0.022754,6.861661,2.042567,24.462715,0.151053,0.081496
pos_noproprio_eff0,23267t68,position,new_eval,WalkFast,locomote,918,9.18,2.992178,2,0.217865,0.747737,0.913403,0.309049,0.0,0.0,0.199391,1.0,-0.11512,-0.024572,-0.03771,0.026368,7.698896,2.204418,41.631886,0.167467,0.089753
pos_noproprio_eff0,dkglvuw8,position,new_eval,Amble,locomote,7116,71.16,3.306972,3,0.042159,0.807514,0.93167,0.445771,0.0,0.0,0.25814,0.999297,-0.112123,-0.012594,-0.010704,0.021115,6.06082,1.818876,15.126233,0.13778,0.076851
pos_noproprio_eff0,dkglvuw8,position,new_eval,AmbleGroom,groom,202,2.02,3.122433,0,0.0,0.781638,0.938511,0.371737,0.0,0.0,0.171595,1.0,-0.110505,-0.015003,-0.015539,0.022877,6.296697,2.008023,26.562199,0.166994,0.091535
pos_noproprio_eff0,dkglvuw8,position,new_eval,FaceGroom,groom,443,4.43,3.591805,0,0.0,0.890433,0.970658,0.497667,0.0,0.0,0.369343,1.0,-0.116412,-0.010035,-0.009849,0.01512,4.02081,1.679703,12.581055,0.101903,0.057718
pos_noproprio_eff0,dkglvuw8,position,new_eval,ProneSlow,still,4056,40.56,3.261667,1,0.024655,0.805963,0.915737,0.412369,0.0,0.0,0.260303,0.99926,-0.112623,-0.01119,-0.008153,0.02111,6.83506,1.90311,9.381031,0.143798,0.080784
pos_noproprio_eff0,dkglvuw8,position,new_eval,ProneSniff,still,12801,128.01,3.368593,2,0.015624,0.825429,0.9242,0.460159,0.0,0.0,0.294683,0.993438,-0.11074,-0.01069,-0.007886,0.019653,6.451585,1.776536,8.8793,0.129952,0.074712
pos_noproprio_eff0,dkglvuw8,position,new_eval,ProneStill,still,2161,21.61,3.250516,0,0.0,0.850384,0.910598,0.396324,0.0,0.0,0.227729,0.997223,-0.114408,-0.010545,-0.00679,0.017758,7.020208,1.93921,7.021895,0.13475,0.076009
pos_noproprio_eff0,dkglvuw8,position,new_eval,RearDown,rear,277,2.77,2.499619,1,0.361011,0.550907,0.716602,0.290693,0.0,0.0,0.075001,1.0,-0.092618,-0.015969,-0.024996,0.03935,16.505836,2.253926,28.634727,0.236739,0.122309
pos_noproprio_eff0,dkglvuw8,position,new_eval,RearHigh,rear,1761,17.61,2.116484,8,0.454287,0.380016,0.612367,0.188963,0.0,0.0,0.048619,0.999432,-0.070357,-0.01856,-0.023996,0.052034,21.132254,2.68525,19.84831,0.303853,0.160243
pos_noproprio_eff0,dkglvuw8,position,new_eval,RearLow,rear,435,4.35,1.907564,1,0.229885,0.403237,0.412373,0.257299,0.0,0.0,0.013122,0.958621,-0.081661,-0.025244,-0.030184,0.049485,31.617125,2.341829,15.101955,0.335847,0.183469
pos_noproprio_eff0,dkglvuw8,position,new_eval,RearMid,rear,1637,16.37,2.546778,3,0.183262,0.600024,0.671176,0.325005,0.0,0.0,0.085225,0.993891,-0.090563,-0.01675,-0.02123,0.036093,17.674213,2.119845,18.802404,0.226198,0.12228
pos_noproprio_eff0,dkglvuw8,position,new_eval,RearSniff,rear,143,1.43,1.374439,0,0.0,0.078519,0.33347,0.134898,0.0,0.0,0.0,0.958042,-0.082592,-0.018428,-0.02947,0.080475,30.076111,2.811286,13.538855,0.48736,0.273647
pos_noproprio_eff0,dkglvuw8,position,new_eval,Walk,locomote,3640,36.4,2.971369,7,0.192308,0.722943,0.862808,0.371939,0.0,0.0,0.173579,0.98489,-0.108475,-0.016425,-0.019889,0.027555,9.462712,2.012249,24.996447,0.183284,0.098417
pos_noproprio_eff0,dkglvuw8,position,new_eval,WalkFast,locomote,955,9.55,2.840673,5,0.52356,0.66186,0.882171,0.315696,0.0,0.0,0.172811,0.971728,-0.108218,-0.021148,-0.034228,0.032816,8.670691,2.171056,35.269711,0.201185,0.103776
pos_noproprio_eff0,wbyipflf,position,new_eval,Amble,locomote,6263,62.63,3.288367,4,0.063867,0.865453,0.876758,0.426549,0.0,0.0,0.261975,0.995529,-0.112736,-0.012821,-0.01234,0.016902,8.883262,1.8681,15.533852,0.124606,0.070478
pos_noproprio_eff0,wbyipflf,position,new_eval,AmbleGroom,groom,152,1.52,3.467626,0,0.0,0.936226,0.957591,0.444643,0.0,0.0,0.281508,1.0,-0.117241,-0.013275,-0.021826,0.011075,5.208989,1.798433,27.223055,0.10369,0.057791
pos_noproprio_eff0,wbyipflf,position,new_eval,FaceGroom,groom,391,3.91,3.58841,0,0.0,0.921421,0.946934,0.491491,0.0,0.0,0.363411,1.0,-0.114212,-0.009239,-0.011396,0.012404,5.375103,1.679523,13.099652,0.090108,0.052856
pos_noproprio_eff0,wbyipflf,position,new_eval,ProneSlow,still,3776,37.76,3.312316,1,0.026483,0.901837,0.848506,0.425213,0.0,0.0,0.271323,0.996292,-0.112146,-0.010107,-0.008603,0.014032,10.141578,1.867096,9.546542,0.124859,0.071735
pos_noproprio_eff0,wbyipflf,position,new_eval,ProneSniff,still,12467,124.67,3.502979,1,0.008021,0.905037,0.895611,0.489516,0.0,0.0,0.342007,1.0,-0.110865,-0.010127,-0.0082,0.013574,8.173949,1.68975,8.465834,0.104825,0.060105
pos_noproprio_eff0,wbyipflf,position,new_eval,ProneStill,still,1539,15.39,3.173051,0,0.0,0.861646,0.737274,0.427657,0.0,0.0,0.272407,1.0,-0.110437,-0.008409,-0.007087,0.016534,15.527071,1.849387,6.755934,0.141819,0.078116
pos_noproprio_eff0,wbyipflf,position,new_eval,RearDown,rear,261,2.61,2.427912,0,0.0,0.544493,0.622434,0.323881,0.0,0.0,0.072593,1.0,-0.092773,-0.019099,-0.023616,0.039981,20.077492,2.144118,27.499054,0.244403,0.131922
pos_noproprio_eff0,wbyipflf,position,new_eval,RearHigh,rear,1609,16.09,2.247597,10,0.621504,0.3975,0.667667,0.258478,0.0,0.0,0.055146,0.992542,-0.079086,-0.016597,-0.028053,0.051799,18.182734,2.394246,17.035389,0.30773,0.168558
pos_noproprio_eff0,wbyipflf,position,new_eval,RearLow,rear,679,6.79,2.427703,0,0.0,0.601391,0.601685,0.274857,0.0,0.0,0.056899,1.0,-0.077475,-0.012097,-0.017557,0.035186,20.13368,2.307736,10.991932,0.244232,0.131505
pos_noproprio_eff0,wbyipflf,position,new_eval,RearMid,rear,1953,19.53,2.626768,1,0.051203,0.613992,0.727398,0.317428,0.0,0.0,0.091233,1.0,-0.088211,-0.015792,-0.019281,0.035039,15.533834,2.156219,16.684719,0.200348,0.110744
pos_noproprio_eff0,wbyipflf,position,new_eval,Walk,locomote,3250,32.5,3.053867,10,0.307692,0.771136,0.846765,0.363076,0.0,0.0,0.228916,0.991077,-0.108691,-0.017506,-0.020904,0.024254,10.090449,2.049353,24.89043,0.165051,0.089437
pos_noproprio_eff0,wbyipflf,position,new_eval,WalkFast,locomote,804,8.04,2.822151,4,0.497512,0.670182,0.858538,0.276506,0.0,0.0,0.194575,0.99005,-0.10786,-0.023431,-0.036409,0.031851,9.911638,2.272198,35.420486,0.187097,0.098201
pos_noproprio_eff2,rfoe9wu2,position,new_eval,Amble,locomote,12014,120.14,3.94571,4,0.033294,0.937624,0.947125,0.633428,0.0,0.0,0.580159,0.996254,-0.122933,-0.012407,-0.013541,0.010209,4.892413,1.352855,16.333681,0.070551,0.039475
