condition,wandb_id,mode,dataset,level,behaviour,n_clips,episode_reward_mean,lifespan_s_mean,reward_per_step_mean,survived_mean,err_root_pos_m_mean,err_root_angular_deg_mean,err_joint_l2_mean,err_joint_vel_l2_mean,err_body_total_m_mean,err_body_end_eff_m_mean,rtps_root_pos_mean,rtps_root_quat_mean,rtps_joints_mean,rtps_joints_vel_mean,rtps_bodies_pos_mean,rtps_end_eff_mean,rtps_torso_z_range_mean,rtps_control_cost_mean,rtps_control_diff_cost_mean,rtps_energy_cost_mean,episode_reward_median,episode_reward_sd,episode_reward_sem,hazard_rate,frac_root_too_far,frac_root_too_rotated,frac_pose_error,frac_nan_termination,frac_survived
pos_noproprio_eff0,wbyipflf,position,train,coarse,rear,130,1064.350916,3.401538,3.120961,0.415385,0.028301,12.164001,1.867052,34.167181,0.170951,0.089663,0.722858,0.80637,0.438454,0.0,0.0,0.291538,0.996527,-0.095586,-0.01446,-0.02474,1051.558655,509.100578,44.651074,0.171868,0.407692,0.169231,0.0,0.0,0.415385
pos_noproprio_eff2,rfoe9wu2,position,new_eval,all,all,32,6258.125385,15.7025,3.849042,0.25,0.012753,5.741165,1.417042,15.979,0.08555,0.046607,0.909821,0.931529,0.615936,0.0,0.0,0.547849,1.000495,-0.124621,-0.013739,-0.01823,5580.908691,4447.178365,786.157495,0.047763,0.28125,0.34375,0.0625,0.0,0.25
pos_noproprio_eff2,rfoe9wu2,position,new_eval,behaviour,Amble,8,5545.502007,13.795,3.888523,0.125,0.011325,5.814083,1.409423,17.226618,0.080911,0.04298,0.925844,0.928593,0.617294,0.0,0.0,0.568484,1.001301,-0.124739,-0.011885,-0.016368,5494.040283,3877.941011,1371.059193,0.063429,0.375,0.375,0.125,0.0,0.125
pos_noproprio_eff2,rfoe9wu2,position,new_eval,behaviour,ProneSlow,1,4230.217773,10.56,4.005888,0.0,0.011127,4.438574,1.414076,16.484739,0.067838,0.035929,0.928431,0.943275,0.617795,0.0,0.0,0.675345,0.996212,-0.119663,-0.013758,-0.02175,4230.217773,,,0.094697,0.0,0.0,0.0,0.0,0.0
pos_noproprio_eff2,rfoe9wu2,position,new_eval,behaviour,ProneSniff,18,7505.328375,18.748333,3.924775,0.333333,0.010946,4.948254,1.381679,14.646992,0.074199,0.041242,0.932594,0.948402,0.626188,0.0,0.0,0.570477,1.000444,-0.12422,-0.012958,-0.016152,8252.093262,4417.865562,1041.300899,0.035559,0.222222,0.333333,0.055556,0.0,0.333333
pos_noproprio_eff2,rfoe9wu2,position,new_eval,behaviour,RearHigh,3,843.244812,2.39,3.517018,0.0,0.024002,7.507406,1.475488,19.271059,0.138032,0.074072,0.774921,0.904728,0.614603,0.0,0.0,0.402389,1.001245,-0.13001,-0.020711,-0.030146,819.821594,169.710633,97.98248,0.41841,0.666667,0.333333,0.0,0.0,0.0
pos_noproprio_eff2,rfoe9wu2,position,new_eval,behaviour,Walk,2,7020.06665,18.46,3.429132,0.5,0.018665,10.587628,1.679605,17.785643,0.136404,0.073536,0.833816,0.825746,0.519316,0.0,0.0,0.416108,0.998745,-0.122154,-0.017709,-0.024738,7020.06665,7118.729502,5033.701904,0.027086,0.0,0.5,0.0,0.0,0.5
pos_noproprio_eff2,rfoe9wu2,position,new_eval,coarse,locomote,10,5840.414935,14.728,3.796645,0.2,0.012793,6.768792,1.463459,17.338423,0.092009,0.049091,0.907439,0.908024,0.597699,0.0,0.0,0.538009,1.000789,-0.124222,-0.01305,-0.018042,5494.040283,4208.77708,1330.932174,0.054318,0.3,0.4,0.1,0.0,0.2
pos_noproprio_eff2,rfoe9wu2,position,new_eval,coarse,rear,3,843.244812,2.39,3.517018,0.0,0.024002,7.507406,1.475488,19.271059,0.138032,0.074072,0.774921,0.904728,0.614603,0.0,0.0,0.402389,1.001245,-0.13001,-0.020711,-0.030146,819.821594,169.710633,97.98248,0.41841,0.666667,0.333333,0.0,0.0,0.0
pos_noproprio_eff2,rfoe9wu2,position,new_eval,coarse,still,19,7332.954133,18.317368,3.929044,0.315789,0.010956,4.921429,1.383384,14.743715,0.073864,0.040963,0.932375,0.948132,0.625746,0.0,0.0,0.575996,1.000221,-0.12398,-0.013,-0.016447,7848.299805,4358.643512,999.9414,0.037353,0.210526,0.315789,0.052632,0.0,0.315789
pos_noproprio_eff2,rfoe9wu2,position,old_eval,all,all,169,1764.351428,4.461538,3.896528,0.840237,0.012471,5.791662,1.457783,39.149158,0.076953,0.03952,0.918963,0.934547,0.589573,0.0,0.0,0.60684,0.999812,-0.12336,-0.012664,-0.017183,1969.755859,517.01597,39.770459,0.035809,0.100592,0.059172,0.0,0.0,0.840237
