wandb_id,condition,arm,seed,delay_k,max_step,n_points,reward_at_600M,fm_mse_at_600M,reward_at_1G,fm_mse_at_1G,reward_at_2G,fm_mse_at_2G,reward_at_2p9G,fm_mse_at_2p9G,reward_at_4G,fm_mse_at_4G
3osnm0o6,expfm,explicit,42,25,600064000,60,1586.043115234375,0.042031317949295,,,,,,,,
6ugicoso,expfm,explicit,42,30,600064000,60,1513.27880859375,0.05168405324220654,,,,,,,,
eqr1acos,expfm_4g,explicit,43,30,1600061440,160,1481.869921875,0.0525031819939613,1597.774853515625,0.045152144879102664,,,,,,
vvcvtmzl,expfm_4g,explicit,43,30,2940026880,294,1505.5336669921876,0.05041561573743817,1598.389111328125,0.04416530206799504,1667.6087890625,0.04085399657487864,1709.0891845703125,0.03600799292325968,,
macs28xu,expfm_4g,explicit,43,40,4000071680,400,1368.46591796875,0.06552938818931575,1521.3513916015625,0.05438292324542994,1597.886767578125,0.05017096549272534,1639.714111328125,0.04510536640882488,1648.38759765625,0.04407881721854208
qqzdghe9,expfm,explicit,42,40,600064000,60,1449.0635498046875,0.06040822863578792,,,,,,,,
5282izw1,expfm_4g,explicit,43,50,4000071680,400,1337.540869140625,0.07523235678672786,1460.8071533203124,0.0660723134875297,1561.3449462890626,0.055310872942209176,1599.878466796875,0.05102334842085832,1611.2018310546875,0.052083471417427016
6cbzq5on,expfm,explicit,42,50,600064000,60,1367.3987060546874,0.07458524107933043,,,,,,,,
7wpzx8cl,expfm_2g,explicit,42,50,2000076800,200,1359.617529296875,0.07392409145832056,1453.0578857421874,0.06472565233707427,1570.3093017578126,0.05445798560976978,,,,
tuakxoap,expfm,explicit,42,60,600064000,60,1283.308837890625,0.08125967830419537,,,,,,,,
czsyqfjy,expfm,explicit,42,70,600064000,60,1296.3070068359375,0.08769053518772121,,,,,,,,
qubjc67b,expfm,explicit,42,80,600064000,60,1291.498974609375,0.09288975745439526,,,,,,,,
vxo6rooq,expfm,explicit,42,90,600064000,60,1260.75595703125,0.0949155300855636,,,,,,,,
f0a0360u,expfm,explicit,42,100,600064000,60,1221.831298828125,0.09781831800937649,,,,,,,,
efc0z8fe,pgfm,implicit,42,0,600064000,60,1997.3690673828125,0.4568964898586273,,,,,,,,
nsfdsuk2,pgfm_2g,implicit,42,0,2000076800,200,1998.3294677734375,0.459702467918396,2017.785498046875,0.48683359026908873,2031.423779296875,0.5168895483016968,,,,
mwaeczx8,pgfm,implicit,42,1,600064000,60,1987.83046875,0.4384976863861084,,,,,,,,
jtjbb7u6,pgfm,implicit,42,2,600064000,60,1967.74111328125,0.43612266778945924,,,,,,,,
7qsntx62,pgfm,implicit,42,3,600064000,60,1947.4117431640625,0.444739955663681,,,,,,,,
th9oxbti,pgfm,implicit,42,5,600064000,60,1921.9957763671875,0.4260018467903137,,,,,,,,
1dbmh27r,pgfm_2g,implicit,42,10,2000076800,200,1784.0977294921875,0.43225241303443906,1871.94150390625,0.44377841949462893,1924.2956787109374,0.46807737946510314,,,,
cgs8q5gj,pgfm,implicit,42,10,600064000,60,1757.350634765625,0.4614290058612823,,,,,,,,
kwk401pl,pgfm,implicit,42,10,600064000,60,1768.4796142578125,0.4438968002796173,,,,,,,,
k4cwiv1u,pgfm,implicit,42,15,600064000,60,1580.0747314453124,0.44664726257324217,,,,,,,,
2pk2qbb4,pgfm_4g,implicit,43,20,2980003840,298,1293.5852783203125,0.4835438013076782,1517.9073486328125,0.4835066318511963,1688.8691650390624,0.47635584473609927,1713.4695068359374,0.497977077960968,,
x1wjdvt9,pgfm_2g,implicit,42,20,2000076800,200,1407.6421142578124,0.4688821196556091,1551.9811279296875,0.4623966157436371,1694.4632080078125,0.4662316024303436,,,,
yt776s6d,pgfm,implicit,42,20,600064000,60,1391.119677734375,0.4761819958686829,,,,,,,,
4298lhzu,pgfm_4g,implicit,43,30,4000071680,400,1001.4525512695312,0.5616879343986512,1168.3317626953126,0.5655741214752197,1442.1917236328125,0.5380916237831116,1464.2044677734375,0.6143692374229431,1525.8175048828125,0.6144821882247925
via4qt5i,pgfm,implicit,42,30,600064000,60,1015.9781372070313,0.5637903690338135,,,,,,,,
eaj28ijq,pgfm_4g,implicit,43,40,4000071680,400,856.364697265625,0.5860304236412048,981.1218627929687,0.6693098425865174,938.0501708984375,0.7928608775138855,971.88076171875,1.0224392533302307,962.6967651367188,1.1474692106246949
6jz9o5p4,pgfm_2g,implicit,42,50,2000076800,200,856.249365234375,0.7111101508140564,833.5184936523438,0.8484217882156372,820.9865966796875,0.9982007265090942,,,,
hrchcmls,pgfm_4g,implicit,43,50,4000071680,400,834.9947143554688,0.6413547039031983,778.5527954101562,0.827307939529419,761.533837890625,1.0905186414718628,728.8382690429687,1.3092650890350341,767.4528442382813,1.690535807609558
lxgp2zfn,pgfm,implicit,42,50,600064000,60,882.1794799804687,0.6853016376495361,,,,,,,,
tb05rkir,pgfm,implicit,42,70,600064000,60,795.0865234375,0.6594583749771118,,,,,,,,
16qfobwj,pgfm,implicit,42,100,600064000,60,784.144873046875,0.675532853603363,,,,,,,,
