run_name,delay_k,efference_length,step,network_class,dataset,decode_seed,decode_version,group_version,frac_valid,condition,arm,budget,wandb_id,seed,group,n_layers,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,p_hat,1,delta,False,0.4643702916406402,0.4310456695059915,10.0,54644,23526,277
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,whole_network,17,delta,False,0.5561868282999207,0.5003918758179609,1000.0,54644,23526,7233
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,decoder,5,proprio,False,0.758976379267096,0.7214369117704618,1000.0,54644,23526,2124
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,encoder,7,proprio,False,0.1104690585421841,0.0838422519467129,100000.0,54644,23526,2784
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,fm_plus_decoder,10,proprio,False,0.889505768665539,0.878505167433222,1000.0,54644,23526,4449
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,forward_model,5,proprio,False,0.891201634104599,0.8792838477718765,1000.0,54644,23526,2325
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,input,1,proprio,False,0.7029781663238115,0.6470038561614004,100.0,54644,23526,657
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,latent_z,1,proprio,False,0.0477885365450098,0.0386761477390934,10000.0,54644,23526,32
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,p_hat,1,proprio,False,0.8878460085874413,0.8753890396505019,100.0,54644,23526,277
RodentForwardModel_delay10_eff10-20260813-074327,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.921403144817181,expfm_2g,explicit,2000000000,itedqjyt,42,whole_network,17,proprio,False,0.8715581254581198,0.8554799078883355,10000.0,54644,23526,7233
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,decoder,5,delta,False,0.3737250906130624,0.2866306851730708,1000.0,50355,20592,2124
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,decoder,5,delta,False,0.3594168967547693,0.3105434778892798,1000.0,48403,20949,2124
