wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,59473920,966.4440307617188,965.2177195829504
jp5jehho,delayed_mlp,primary,1000000000,0,46,60211200,966.337890625,965.2641996495864
jp5jehho,delayed_mlp,primary,1000000000,0,46,60702720,965.3077392578124,965.2402307846967
jp5jehho,delayed_mlp,primary,1000000000,0,46,61440000,964.7875366210938,965.4137752757352
jp5jehho,delayed_mlp,primary,1000000000,0,46,61931520,965.4249267578124,965.4409610523898
jp5jehho,delayed_mlp,primary,1000000000,0,46,62423040,965.6978149414062,965.4854700425092
jp5jehho,delayed_mlp,primary,1000000000,0,46,63160320,966.06982421875,965.5310489430148
jp5jehho,delayed_mlp,primary,1000000000,0,46,63651840,966.2970581054688,965.5915563246783
jp5jehho,delayed_mlp,primary,1000000000,0,46,64389120,966.093017578125,965.6356165268842
jp5jehho,delayed_mlp,primary,1000000000,0,46,64880640,966.16455078125,965.6963393267463
jp5jehho,delayed_mlp,primary,1000000000,0,46,65617920,966.3114013671876,965.7471528894761
jp5jehho,delayed_mlp,primary,1000000000,0,46,66109440,966.8662109375,965.8316542681525
jp5jehho,delayed_mlp,primary,1000000000,0,46,66600960,966.7839965820312,965.9501450482537
jp5jehho,delayed_mlp,primary,1000000000,0,46,67338240,966.98486328125,966.0259004480698
jp5jehho,delayed_mlp,primary,1000000000,0,46,67829760,967.4703979492188,966.1621488683364
jp5jehho,delayed_mlp,primary,1000000000,0,46,68567040,967.008056640625,966.2296357996323
jp5jehho,delayed_mlp,primary,1000000000,0,46,69058560,967.6591796875,966.3357938878677
jp5jehho,delayed_mlp,primary,1000000000,0,46,69795840,967.4337768554688,966.3940142463235
jp5jehho,delayed_mlp,primary,1000000000,0,46,70287360,967.4098510742188,966.4570707433364
jp5jehho,delayed_mlp,primary,1000000000,0,46,71024640,967.0499877929688,966.5595559512867
jp5jehho,delayed_mlp,primary,1000000000,0,46,71516160,967.1671142578124,966.6995311063879
jp5jehho,delayed_mlp,primary,1000000000,0,46,72007680,967.3518676757812,966.8128805721508
jp5jehho,delayed_mlp,primary,1000000000,0,46,72744960,967.1810302734376,966.9001285328585
jp5jehho,delayed_mlp,primary,1000000000,0,46,73236480,967.5880126953124,966.9894337373621
jp5jehho,delayed_mlp,primary,1000000000,0,46,73973760,967.5296020507812,967.0619363223805
jp5jehho,delayed_mlp,primary,1000000000,0,46,74465280,967.42041015625,967.1400182387408
jp5jehho,delayed_mlp,primary,1000000000,0,46,75202560,967.6141357421876,967.2252879423254
jp5jehho,delayed_mlp,primary,1000000000,0,46,75694080,967.9141845703124,967.319569307215
jp5jehho,delayed_mlp,primary,1000000000,0,46,76431360,968.04150390625,967.3887041877298
jp5jehho,delayed_mlp,primary,1000000000,0,46,76922880,968.5047607421876,967.4899256089154
jp5jehho,delayed_mlp,primary,1000000000,0,46,77414400,968.2308959960938,967.563221650965
jp5jehho,delayed_mlp,primary,1000000000,0,46,78151680,967.784423828125,967.581693761489
jp5jehho,delayed_mlp,primary,1000000000,0,46,78643200,968.23193359375,967.6536865234375
jp5jehho,delayed_mlp,primary,1000000000,0,46,79380480,967.90576171875,967.6681913488052
jp5jehho,delayed_mlp,primary,1000000000,0,46,79872000,969.0242919921876,967.7617510627298
jp5jehho,delayed_mlp,primary,1000000000,0,46,80609280,968.2177124023438,967.8092723173254
jp5jehho,delayed_mlp,primary,1000000000,0,46,81100800,968.5874633789062,967.8997120576746
jp5jehho,delayed_mlp,primary,1000000000,0,46,81838080,968.600341796875,967.9840195599725
jp5jehho,delayed_mlp,primary,1000000000,0,46,82329600,968.51416015625,968.0523897058823
jp5jehho,delayed_mlp,primary,1000000000,0,46,82821120,968.5418701171876,968.1324391084559
jp5jehho,delayed_mlp,primary,1000000000,0,46,83558400,968.8112182617188,968.204392377068
