condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,servo_kp,servo_center,launch,eval_every_steps,servo_damping_ratio,delay,efference_length,seed,actual_step,ctrl_dt,reward_source,reward_last_point,kp_right_hip,settling_right_hip,dead_right_hip,kp_right_knee,settling_right_knee,dead_right_knee,kp_right_ankle,settling_right_ankle,dead_right_ankle,kp_left_hip,settling_left_hip,dead_left_hip,kp_left_knee,settling_left_knee,dead_left_knee,kp_left_ankle,settling_left_ankle,dead_left_ankle,reward_final,reward_final_n,reward_max,late_gain,max_drawdown_late,curve_points,curve_max_step,smooth_max,grid_points,solved_800,steps_to_800,solved_900,steps_to_900,solved_950,steps_to_950,steps_to_900_native
servo,WalkerWalk,ylqtyh2p,WalkerWalk_DelayedMLP_delay5_eff5_kp4-job46705781,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,4.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,960.9766235351562,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,955.4781716086648,11,960.9766235351562,132.87989390980113,1.01739501953125,100,480215040,960.7113647460938,100,True,345784320.0,True,436961280.0,True,456130560.0,436961280.0
servo,WalkerWalk,cs3376pz,WalkerWalk_DelayedMLP_delay5_eff5_kp8-job46705785,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,8.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,803.5673828125,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,694.3182400790128,11,807.370361328125,-68.04814286665487,360.5970764160156,100,480215040,799.8433939615885,100,False,,False,,False,,
servo,WalkerWalk,yn0g4ch2,WalkerWalk_DelayedMLP_delay5_eff5_kp16-job46705804,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,16.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,808.4287109375,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,786.3144808682529,11,808.4287109375,86.12921697443187,6.6455078125,100,480215040,797.4057739257812,100,False,,False,,False,,
servo,WalkerWalk,7j3pvdrw,WalkerWalk_DelayedMLP_delay5_eff5_kp32-job46857014,2026-09-17T14:03:01Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,32.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,966.480712890625,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,966.3550248579545,11,968.1824951171876,3.825456099076632,3.73455810546875,100,480215040,966.8561401367188,100,True,264192000.0,True,283361280.0,True,292945920.0,283361280.0
servo,WalkerWalk,3sjjtg31,WalkerWalk_DelayedMLP_delay5_eff5_kp48-job46857018,2026-09-17T14:03:01Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,48.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,968.0535888671876,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,966.0760997425426,11,968.0535888671876,4.034035422585248,3.4208374023438637,100,480215040,966.9615600585937,100,True,129761280.0,True,148930560.0,True,192184320.0,148930560.0
servo,WalkerWalk,o167k20f,WalkerWalk_DelayedMLP_delay5_eff5_kp64-job46857023,2026-09-17T14:03:01Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,64.0,range,kp_sweep,4800000,1.0,5,5,50,480215040.0,0.025,dmc_eval,958.97412109375,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,921.46875,11,958.97412109375,40.70351895419037,6.97943115234375,100,480215040,930.447509765625,100,True,139345920.0,True,417792000.0,False,,417792000.0
torque,WalkerWalk,sbt8k29r,WalkerWalk_DelayedMLP_delay7_eff7-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0.0,,delay_sweep_0909,600000,,7,7,42,480215040.0,0.025,dmc_eval,952.1489868164062,,,,,,,,,,,,,,,,,,,949.826166062128,84,953.1265258789062,8.903207136582068,9.24273681640625,800,480215040,950.5354736328125,100,True,211353600.0,True,230522880.0,True,470630400.0,229294080.0
torque,WalkerWalk,eldxqhi6,WalkerWalk_DelayedMLP_delay10_eff10-20260909-065229,2026-09-09T10:52:31Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0.0,,delay_sweep_0909,600000,,10,10,42,480215040.0,0.025,dmc_eval,728.0774536132812,,,,,,,,,,,,,,,,,,,695.0199810209729,84,728.0774536132812,44.883751287586165,20.4912109375,800,480215040,707.8465698242187,100,False,,False,,False,,
servo,WalkerWalk,gyxusu36,WalkerWalk_DelayedMLP_delay10_eff10_kp4-job46857192,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,4.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,690.61474609375,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,700.4082641601562,11,706.8656005859375,26.275052157315372,25.0135498046875,100,480215040,705.9730102539063,100,False,,False,,False,,
servo,WalkerWalk,ky1r2j3t,WalkerWalk_DelayedMLP_delay10_eff10_kp8-job46857195,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,8.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,714.400634765625,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,710.4443858753551,11,716.8172607421875,70.95103315873575,7.92376708984375,100,480215040,713.8210815429687,100,False,,False,,False,,
servo,WalkerWalk,z5nh8rzd,WalkerWalk_DelayedMLP_delay10_eff10_kp16-job46857201,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,16.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,817.423095703125,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,808.702187278054,11,817.423095703125,14.467690207741498,11.85992431640625,100,480215040,811.0783447265625,100,True,403292160.0,False,,False,,
servo,WalkerWalk,yobaxq9u,WalkerWalk_DelayedMLP_delay10_eff10_kp32-job46857213,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,32.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,947.80419921875,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,3055.774907364391,0.13834924846343818,0.0,1222.3099629457563,0.1024104619638179,0.0,814.8733086305042,0.0248620376563782,0.0,940.0623779296875,11,954.0013427734376,36.37070534446025,43.029541015625114,100,480215040,949.3270874023438,100,True,153600000.0,True,168099840.0,False,,168099840.0
servo,WalkerWalk,rv6zc0b9,WalkerWalk_DelayedMLP_delay10_eff10_kp48-job46857223,2026-09-17T14:06:40Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,48.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,964.2216796875,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,4583.662361046586,0.11296168834431772,0.0,1833.4649444186343,0.08361779204468624,0.0,1222.3099629457563,0.02029976874132917,0.0,961.4048073508523,11,966.9489135742188,2.717540394176126,21.692932128906364,100,480215040,964.268115234375,100,True,101007360.0,True,110592000.0,True,196853760.0,110592000.0
servo,WalkerWalk,m68iqez4,WalkerWalk_DelayedMLP_delay10_eff10_kp64-job46857235,2026-09-17T14:06:44Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,64.0,range,kp_sweep,4800000,1.0,10,10,50,480215040.0,0.025,dmc_eval,962.702880859375,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,6111.549814728782,0.09782769176055968,0.0,2444.6199258915126,0.07241513211906261,0.0,1629.7466172610084,0.017580115420940325,0.0,962.4201382723721,11,964.6007690429688,2.595492276278378,15.29168701171875,100,480215040,963.450390625,100,True,120176640.0,True,129761280.0,True,192184320.0,129761280.0
torque,WalkerWalk,t3sip7o4,WalkerWalk_DelayedMLP_delay15_eff15-20260909-065127,2026-09-09T10:51:30Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,0.0,,delay_sweep_0909,600000,,15,15,42,480215040.0,0.025,dmc_eval,411.50140380859375,,,,,,,,,,,,,,,,,,,407.7897698538644,84,412.3770446777344,7.843860606523492,5.594787597656193,800,480215040,410.2542785644531,100,False,,False,,False,,
torque,WalkerWalk,nr9ad1y5,WalkerWalk_DelayedMLP_delay20_eff20-20260909-065229,2026-09-09T10:52:31Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,0.0,,delay_sweep_0909,600000,,20,20,42,480215040.0,0.025,dmc_eval,542.9658203125,,,,,,,,,,,,,,,,,,,540.2322031656901,84,545.436767578125,20.936295903830114,11.11572265625,800,480215040,542.0195556640625,100,False,,False,,False,,
