wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,seed,fm_loss_weight,detach_prediction,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,episode_reward/mean,episode_reward/std,eval/episode_reward/mean,eval/episode_reward/std,net/3/action/1/fm_pred_mse/p25,net/3/action/1/fm_pred_mse/p50,net/3/action/1/fm_pred_mse/p75,eval/net/3/action/1/fm_pred_mse/mean,eval/net/3/action/1/fm_pred_mse/std,actual_step,condition,git_short,episode_reward_mean,fm_mse_p50,fm_mse_p25,fm_mse_p75,fm_mse_eval_mean
1j36ffre,RodentForwardModel_delay40_eff40-20260619-035659,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay40,eff40,warp",Explicit forward model.,AbsoluteImitation,40,40,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1444.188720703125,560.1549072265625,,,0.05462346225976944,0.08158190548419952,0.12950895726680756,,,600064000,forward_model,54643764,1444.188720703125,0.08158190548419952,0.05462346225976944,0.12950895726680756,
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Explicit forward model.,AbsoluteImitation,50,50,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1345.9512939453125,589.0496826171875,,,0.06121931970119476,0.09267140924930573,0.14372089505195618,,,600064000,forward_model,54643764,1345.9512939453125,0.09267140924930573,0.06121931970119476,0.14372089505195618,
rmeykqfj,RodentForwardModel_delay60_eff60-20260619-040528,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay60,eff60,warp",Explicit forward model.,AbsoluteImitation,60,60,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1293.4940185546875,588.5738525390625,,,0.06890843063592911,0.0985732227563858,0.14623597264289856,,,600064000,forward_model,54643764,1293.4940185546875,0.0985732227563858,0.06890843063592911,0.14623597264289856,
5chxtk59,RodentForwardModel_delay70_eff70-20260619-040722,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",Explicit forward model.,AbsoluteImitation,70,70,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1196.955810546875,577.099853515625,,,0.07304812967777252,0.1043361872434616,0.1538069099187851,,,600064000,forward_model,54643764,1196.955810546875,0.1043361872434616,0.07304812967777252,0.1538069099187851,
3wnn9itz,RodentForwardModel_delay80_eff80-20260619-040733,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,warp",Explicit forward model.,AbsoluteImitation,80,80,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1211.232666015625,572.9645385742188,,,0.07654685527086258,0.10870305448770524,0.15873390436172485,,,600064000,forward_model,54643764,1211.232666015625,0.10870305448770524,0.07654685527086258,0.15873390436172485,
zu36pzzv,RodentForwardModel_delay90_eff90-20260619-041422,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay90,eff90,warp",Explicit forward model.,AbsoluteImitation,90,90,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1163.7845458984375,552.7642822265625,,,0.08642837405204773,0.12190389633178712,0.17884473502635956,,,600064000,forward_model,54643764,1163.7845458984375,0.12190389633178712,0.08642837405204773,0.17884473502635956,
4dgvazws,RodentForwardModel_delay100_eff100-20260619-041703,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",Explicit forward model.,AbsoluteImitation,100,100,42,1,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",1126.962646484375,545.8890991210938,,,0.08919724076986313,0.12489058077335358,0.18137061595916748,,,600064000,forward_model,54643764,1126.962646484375,0.12489058077335358,0.08919724076986313,0.18137061595916748,
q17o8qo6,RodentForwardModel_delay0_eff0-20260630-054837,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,0,0,42,1,True,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1967.981201171875,164.72007751464844,0.007333130575716496,0.008182032965123653,0.009245716035366058,0.00030578309088014066,0.00011335097951814532,600064000,forward_model_nnxupdate,d4bd4dc0,1967.981201171875,0.008182032965123653,0.007333130575716496,0.009245716035366058,0.00030578309088014066
9w0s13ga,RodentForwardModel_delay5_eff5-20260630-054837,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,5,5,42,1,True,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1902.705078125,253.4889678955078,0.02160438895225525,0.030432671308517456,0.04546712711453438,0.015698185190558434,0.017540128901600838,600064000,forward_model_nnxupdate,d4bd4dc0,1902.705078125,0.030432671308517456,0.02160438895225525,0.04546712711453438,0.015698185190558434
cstjistq,RodentForwardModel_delay10_eff10-20260630-054924,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,10,10,42,1,True,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1796.3837890625,389.7220764160156,0.03166024014353752,0.043091170489788055,0.063050277531147,0.04151839762926102,0.024383215233683583,600064000,forward_model_nnxupdate,d4bd4dc0,1796.3837890625,0.043091170489788055,0.03166024014353752,0.063050277531147,0.04151839762926102
ycs161ow,RodentForwardModel_delay0_eff0_nodetach-20260630-083013,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,0,0,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1994.4716796875,145.5896759033203,0.7485237717628479,0.8858661651611328,1.0660251379013062,0.47718995809555054,0.1204761639237404,600064000,pg_forward_model,d4bd4dc0,1994.4716796875,0.8858661651611328,0.7485237717628479,1.0660251379013062,0.47718995809555054
y0ht875v,RodentForwardModel_delay1_eff1_nodetach-20260630-083013,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay1,eff1,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,1,1,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1990.665771484375,148.2670135498047,0.7298136949539185,0.8708368539810181,1.0533106327056885,0.4644426703453064,0.12625950574874878,600064000,pg_forward_model,d4bd4dc0,1990.665771484375,0.8708368539810181,0.7298136949539185,1.0533106327056885,0.4644426703453064
ktd2pdlz,RodentForwardModel_delay2_eff2_nodetach-20260630-083037,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,2,2,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1983.7763671875,140.50091552734375,0.7354953289031982,0.8695995211601257,1.047493815422058,0.45256543159484863,0.1150522083044052,600064000,pg_forward_model,d4bd4dc0,1983.7763671875,0.8695995211601257,0.7354953289031982,1.047493815422058,0.45256543159484863
rgbe2wln,RodentForwardModel_delay5_eff5_nodetach-20260630-083050,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,5,5,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1938.328369140625,179.51678466796875,0.7460552453994751,0.8804514408111572,1.056253433227539,0.4474585354328155,0.1033414825797081,600064000,pg_forward_model,d4bd4dc0,1938.328369140625,0.8804514408111572,0.7460552453994751,1.056253433227539,0.4474585354328155
5kut4rjy,RodentForwardModel_delay10_eff10_nodetach-20260630-083050,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,10,10,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1842.625244140625,298.6861877441406,0.7717530131340027,0.918744683265686,1.123006820678711,0.4513879418373108,0.14772696793079376,600064000,pg_forward_model,d4bd4dc0,1842.625244140625,0.918744683265686,0.7717530131340027,1.123006820678711,0.4513879418373108
k31whkph,RodentForwardModel_delay20_eff20_nodetach-20260630-083014,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,20,20,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1508.4644775390625,547.6675415039062,0.7662795186042786,0.9114096164703368,1.1274511814117432,0.4434815645217895,0.1536640077829361,600064000,pg_forward_model,d4bd4dc0,1508.4644775390625,0.9114096164703368,0.7662795186042786,1.1274511814117432,0.4434815645217895
e2gls1el,RodentForwardModel_delay50_eff50_nodetach-20260630-083033,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,50,50,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,1001.95166015625,553.364013671875,0.8709325194358826,1.0785601139068604,1.337734341621399,0.5299689769744873,0.14985153079032898,600064000,pg_forward_model,d4bd4dc0,1001.95166015625,1.0785601139068604,0.8709325194358826,1.337734341621399,0.5299689769744873
61tqhars,RodentForwardModel_delay80_eff80_nodetach-20260630-083054,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,80,80,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,749.8599243164062,372.8224792480469,0.8763900399208069,1.1399455070495603,1.4868935346603394,0.611322820186615,0.2700919210910797,600064000,pg_forward_model,d4bd4dc0,749.8599243164062,1.1399455070495603,0.8763900399208069,1.4868935346603394,0.611322820186615
6zfy0rac,RodentForwardModel_delay100_eff100_nodetach-20260630-083054,nnx-ppo-rodent-delays,finished,d4bd4dc071e4a1385f358ea8916d60fd912a86fa,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,nodetach,warp",Another architecture vs loss test.,AbsoluteImitation,100,100,42,0,False,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,,714.180419921875,334.56866455078125,0.8471511006355286,1.1318211555480957,1.5272215604782104,0.541312575340271,0.20045940577983856,600064000,pg_forward_model,d4bd4dc0,714.180419921875,1.1318211555480957,0.8471511006355286,1.5272215604782104,0.541312575340271
