condition,arm,min_std,wandb_id,wandb_name,state,delay_k,git_commit,action_noise,spec_id,dataset,have_artifact,checkpoint_step,record_action_noise,walker_xml,n_clips,n_steps,episode_reward,episode_reward_std,lifespan_steps,lifespan_s,survived,reward_per_step,hazard_rate,fm_pred_mse,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,joint_l2_error,root_pos_distance,body_errors_total
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.05,eval3ds-n05-7c60cd50,old_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,169,502,2047.5962074776373,270.1793482630282,480.1834319526627,4.801834319526627,0.9704142011834319,4.264195870213808,6.161353526142631e-05,,0.023668639053254437,0.005917159763313609,0.0,0.0,1.2492871502083207,0.010522549491830104,0.053509662775672845
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.05,eval3ds-n05-7c60cd50,train,True,600064000,0.05,rodent_no_tail_collisions.xml,673,502,2087.0752350012226,198.92084735372953,484.28083209509657,4.842808320950966,0.9806835066864784,4.309638326943716,3.9886966473470655e-05,,0.01634472511144131,0.0029717682020802376,0.0,0.0,1.210939817465603,0.009771640251022494,0.04751947547930802
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.1,eval3ds-n10-2726ab9c,new_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,32,3002,2714.6703996658325,2474.4413759781605,773.40625,7.7340625,0.0,3.5100186993133717,0.001292981534607459,,0.59375,0.40625,0.0,0.0,1.4084365275298216,0.02442599043545502,0.11954212371779252
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.1,eval3ds-n10-2726ab9c,old_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,169,502,849.6905815305089,578.2402010158017,262.9822485207101,2.6298224852071,0.242603550295858,3.2309807460772206,0.0028800288002880027,,0.5562130177514792,0.21301775147928995,0.0,0.0,1.5079027478149012,0.02846130531326513,0.14510625736042607
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.1,eval3ds-n10-2726ab9c,train,True,600064000,0.1,rodent_no_tail_collisions.xml,673,502,867.5538714835407,603.1970373821644,265.19762258543835,2.6519762258543835,0.24368499257057952,3.2713486004349153,0.0028518921099519264,,0.5676077265973254,0.19910846953937592,0.0,0.0,1.4880422688335695,0.028353531000183233,0.1454914575160268
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.25,eval3ds-n25-da25f356,new_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,32,3002,58.79428035020828,24.990748508137106,25.96875,0.2596875,0.0,2.2640396765423167,0.03850782190132371,,0.59375,0.46875,0.0,0.0,1.3595876061613525,0.04546329248101911,0.15303596176171175
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.25,eval3ds-n25-da25f356,old_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,169,502,54.00877796827689,18.86265118812815,25.86390532544379,0.2586390532544378,0.0,2.088191140846212,0.038663921299473804,,0.5621301775147929,0.5207100591715976,0.0,0.0,1.4643567311678773,0.04806989080025791,0.18512089225557457
encdec,encdec,0.1,17p127fn,RodentEncDec_delay1_eff1-20260811-075237,failed,1,ef060b73,0.25,eval3ds-n25-da25f356,train,True,600064000,0.25,rodent_no_tail_collisions.xml,673,502,57.222745089084576,20.964136258366953,28.438335809806834,0.2843833580980683,0.0,2.012169258840792,0.03516380166152882,,0.487369985141159,0.5646359583952452,0.0,0.0,1.5252877895323513,0.04812775236944,0.19016943574865416
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,32,3002,9623.411611557007,3645.923014185367,2319.84375,23.1984375,0.5,4.148301630899498,0.0002155317572573584,,0.09375,0.40625,0.0,0.0,1.3385487816100456,0.008127331551022165,0.06316759182844467
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,169,502,2133.0231045153014,72.14049380622501,488.85207100591714,4.888520710059171,0.9940828402366864,4.363330404075311,1.2104192892417996e-05,,0.005917159763313609,0.0,0.0,0.0,1.2812487057602016,0.006811787815242192,0.04625036181674295
