wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
dunq9t5f,RodentForwardModel_delay5_eff5-20260622-091045,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Sweeping forward model loss weight.,AbsoluteImitation,5,5,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,823.8566284179688,622.5817260742188,600064000,forward_model
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",Explicit forward model.,AbsoluteImitation,5,5,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1902.5728759765625,229.8212890625,600064000,forward_model
oeb11ok2,RodentForwardModel_delay6_eff6-20260619-033349,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay6,eff6,warp",Explicit forward model.,AbsoluteImitation,6,6,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.109619140625,238.67958068847656,600064000,forward_model
dcgsgytz,RodentForwardModel_delay7_eff7-20260619-033456,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay7,eff7,warp",Explicit forward model.,AbsoluteImitation,7,7,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1899.5849609375,231.030517578125,600064000,forward_model
4spnzcd6,RodentForwardModel_delay8_eff8-20260619-033515,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay8,eff8,warp",Explicit forward model.,AbsoluteImitation,8,8,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.89404296875,286.3036193847656,600064000,forward_model
3h12kbno,RodentForwardModel_delay9_eff9-20260619-033655,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay9,eff9,warp",Explicit forward model.,AbsoluteImitation,9,9,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1875.90234375,255.567626953125,600064000,forward_model
evvfdeav,RodentForwardModel_delay10_eff10-20260622-100244,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,784.6690673828125,584.071044921875,600064000,forward_model
zb7w3pl5,RodentForwardModel_delay10_eff10-20260622-105204,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,1e-05,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1063.715576171875,662.00439453125,600064000,forward_model
k9ehc49x,RodentForwardModel_delay10_eff10-20260622-104935,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.0001,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1724.0462646484375,455.455322265625,600064000,forward_model
7dzqww8l,RodentForwardModel_delay10_eff10-20260622-104941,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.001,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1842.856689453125,319.99560546875,600064000,forward_model
