wandb_id,wandb_name,wandb_project,git_commit,condition,delay_k,efference_length,seed,detach_prediction,body_target_frame,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length_train,ctrl_dt,mocap_hz,checkpoint_step,network_class,fm_loss_weight,total_params,decoder_params,fm_pred_mse,dataset,n_clips,clip_frames,rollout_steps,episode_reward_mean,episode_reward_std,lifespan_steps,lifespan_s,survival_frac,reward_per_step,survived,hazard_rate,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,err_root_pos_m,err_root_angular_deg,err_joint_l2,err_joint_vel_l2,err_body_total_m,err_body_end_eff_m,rt_root_pos,rtps_root_pos,rt_root_quat,rtps_root_quat,rt_joints,rtps_joints,rt_end_eff,rtps_end_eff,rt_torso_z_range,rtps_torso_z_range,rt_control_cost,rtps_control_cost,rt_control_diff_cost,rtps_control_diff_cost,rt_energy_cost,rtps_energy_cost
nvyg0bhj,RodentEncDec_delay4_eff4-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,4,4,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,train,673,250,502,2094.4540522038315,227.64419557533944,482.03120356612186,4.820312035661218,0.9602215210480515,4.345059068186502,0.9643387815750372,0.007398114097414664,0.022288261515601784,0.01634472511144131,0.0,0.0,0.007355653417409589,2.884545481661432,1.3013654982886507,37.11733004263269,0.05018304774777793,0.024150747519375924,470.34303972944286,0.9757522671764637,476.3138416171251,0.9881390210702148,313.1396182685161,0.6496252025841345,371.79510967727936,0.7713092159318664,482.95988112927193,1.0019265922128684,-10.161379285588485,-0.02108033507045486,-4.65696974884702,-0.009661137524695966,-5.279086225631509,-0.010951752057908756
rlsz0bl2,RodentEncDec_delay4_eff4-20260626-070041,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,43,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,new_eval,32,1500,3002,7056.941064834595,4233.087744844851,1688.9375,16.889375,0.5626040972684877,4.178331681802669,0.28125,0.04255634089479332,0.03125,0.65625,0.03125,0.0,0.007395826732670365,4.286472175382562,1.3399889605083297,14.469783823794595,0.06126073307474897,0.031075067674156194,1640.5987603664398,0.9713792016379764,1634.2208080291748,0.967602891184058,1039.6760762929916,0.6155799585792794,1130.4108301401138,0.6693029375806469,1678.71875,0.9939495984901751,-37.27987892925739,-0.022072977199723134,-15.341157846152782,-0.009083318859432503,-14.06416591256857,-0.008327226977060174
rlsz0bl2,RodentEncDec_delay4_eff4-20260626-070041,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,43,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,old_eval,169,250,502,2045.877742744762,317.67679445419753,474.58579881656806,4.74585798816568,0.9453900374832033,4.310870126848261,0.9230769230769231,0.016208465806371163,0.05325443786982249,0.023668639053254437,0.0,0.0,0.007715167882839255,3.324316500134404,1.3231382156922058,37.947722684669195,0.0535718691666371,0.026413476096245322,462.94922923477446,0.9754805777779052,467.0946607646152,0.9842154188544351,303.55361087505634,0.6396179818949507,356.47549336337477,0.751129709848642,475.46153846153845,1.0018452714918022,-9.785099352605243,-0.020618188274924083,-4.6827291158529425,-0.009866981118124148,-5.188911998765708,-0.010933559351554201
rlsz0bl2,RodentEncDec_delay4_eff4-20260626-070041,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,43,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,train,673,250,502,2068.466049046963,303.7311784155388,476.50222882615157,4.765022288261515,0.9492076271437282,4.340936776187941,0.950965824665676,0.010290439869529705,0.02674591381872214,0.02526002971768202,0.0,0.0,0.007602314249061555,3.1465359763373,1.293913164809392,37.378178190296644,0.05206815713865787,0.025449016619542807,465.0403586496747,0.9759458204325449,470.06549724675216,0.9864917072995522,310.8294782879448,0.6523148465719952,365.0978456507112,0.7662038571154607,477.258543833581,1.001587222391997,-9.986837993936412,-0.020958638574553316,-4.691939957340264,-0.009846627515045862,-5.14692463261943,-0.010801470216201757
j842wogl,RodentEncDec_delay4_eff4-20260629-091548,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,44,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,new_eval,32,1500,3002,8989.995084762573,4543.13712762351,2128.90625,21.2890625,0.7091626415722851,4.2228233792646215,0.53125,0.022018348623853212,0.15625,0.34375,0.0,0.0,0.009019922166484888,4.2613354106461925,1.3218782148052397,13.904380114634346,0.06431354342602606,0.032062461953634824,2050.3861260414124,0.9631171527827551,2065.8501782417297,0.9703810011557483,1346.8573129177094,0.6326522423980433,1483.1271646022797,0.6966615672260249,2125.6875,0.9984880733944954,-47.495674304664135,-0.02230989471925508,-18.355826750397682,-0.008622186510278544,-16.06150732189417,-0.007544487842944784
j842wogl,RodentEncDec_delay4_eff4-20260629-091548,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,44,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,old_eval,169,250,502,2062.0959049653725,309.3945837649148,477.43195266272187,4.7743195266272185,0.9510596666588085,4.319140965460526,0.9644970414201184,0.0074362342909550525,0.029585798816568046,0.005917159763313609,0.0,0.0,0.007900138520144925,3.1048954351020557,1.330115497108395,38.06086034961335,0.052301946054507935,0.025721540146934743,464.9307532507992,0.9738157462184899,471.09989118858203,0.9867372482322877,304.2029018063517,0.6371649406994204,363.1790808728461,0.7606928670092828,478.35502958579883,1.0019334209156483,-9.97184909871344,-0.02088643008306982,-4.559121457782723,-0.00954925918207967,-5.14088744665744,-0.010767790923891473
j842wogl,RodentEncDec_delay4_eff4-20260629-091548,emiwar-team/nnx-ppo-rodent-delays,714cc735,efference,4,4,44,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4203149,1063500,,train,673,250,502,2101.4508580495485,228.44026661254318,482.3001485884101,4.823001485884101,0.9607572681044025,4.3571432938597425,0.9732540861812778,0.005545491515397985,0.020802377414561663,0.005943536404160475,0.0,0.0,0.007326470863877603,2.808141187477841,1.297286906931697,37.212002751176925,0.04875439116826329,0.023436101944580755,471.0337649312806,0.9766403064769857,476.89777760838683,0.988798736645977,314.12528198151495,0.6513066249324053,376.1789953542145,0.7799686490978914,483.23476968796433,1.0019378412017697,-10.23671566253254,-0.021224782311374417,-4.619076278199058,-0.009577181951359775,-5.163928532848386,-0.01070687734175929
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,new_eval,32,1500,3002,5661.457206726074,3630.3221732214874,1352.8125,13.528125,0.45063707528314456,4.184953352165266,0.0625,0.0693000693000693,0.125,0.84375,0.0,0.0,0.0077645369928681955,5.070840364614746,1.3394828168053872,13.891297422555734,0.06694504151225666,0.033422531951303944,1316.7792840003967,0.9733642200973134,1305.6227946281433,0.9651173349064585,825.4281611442566,0.6101571068749414,919.4132618010044,0.6796309627542653,1347.65625,0.9961884961884961,-29.965608090162277,-0.022150599650847605,-12.31208810210228,-0.009101104626178632,-11.165513962507248,-0.008253556174641533
ufjqc0qr,RodentEncDec_delay5_eff5-20260623-085807,emiwar-team/nnx-ppo-rodent-delays,54643764,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,new_eval,32,1500,3002,5681.70929145813,3508.1743775655423,1384.3125,13.843125,0.4611300799467022,4.104354538052737,0.09375,0.06546570951284482,0.21875,0.6875,0.0,0.0,0.010951229448932103,6.275144943052764,1.3655724672628897,14.162565882960227,0.07990708468498717,0.040130321827869755,1316.527087211609,0.951033157044821,1309.9753680229187,0.9463003245458801,837.8675036430359,0.6052589307999717,900.508986979723,0.6505099007483665,1373.0,0.9918280735021897,-30.59511448442936,-0.0221013062328263,-13.619841076433659,-0.009838704105058401,-11.957039669156075,-0.008637529220574166
yydt97hg,RodentEncDec_delay5_eff5-20260610-095336,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,new_eval,32,1500,3002,5426.983081817627,3434.3492823750967,1308.5625,13.085625,0.4358969020652898,4.147286111146871,0.09375,0.06925538520322873,0.09375,0.84375,0.0,0.0,0.010313884853965342,5.531718392678444,1.3216693021570731,14.59522534918237,0.07288591062599425,0.036351428737316886,1252.675672531128,0.9572914343266966,1244.966140985489,0.9513998307191968,816.6389973163605,0.6240733608951505,868.6619510650635,0.6638291644954395,1296.78125,0.9909967999235803,-29.52036975324154,-0.022559388453544663,-11.884762339293957,-0.009082303932211077,-11.335977740585804,-0.00866292419398065
zvl6ln26,RodentEncDec_delay5_eff5-20260610-102507,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,new_eval,32,1500,3002,8686.279573440552,4295.079079045939,2097.03125,20.9703125,0.6985447201865423,4.142179365920537,0.40625,0.028313836524849114,0.03125,0.5625,0.0,0.0,0.008766919769068219,4.73260050636485,1.3684002338223942,14.078650775653879,0.0692066164586988,0.034682147461965324,2023.2263417243958,0.9648050508185778,2010.6504106521606,0.9588080342875962,1286.3449685573578,0.6134123983881298,1372.9779297113419,0.6547245920685931,2075.53125,0.98974741077416,-45.90052154660225,-0.021888334542750496,-19.704749710857868,-0.009396497887600802,-16.84576626121998,-0.008033149845153704
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,old_eval,169,250,502,1956.4233395277395,470.3095432717562,456.68639053254435,4.566863905325444,0.9097338456823593,4.283953671679036,0.8698224852071006,0.028504793988079813,0.05917159763313609,0.07100591715976332,0.0,0.0,0.00901177297367463,3.7335135548789564,1.3446802127137512,38.461691820333535,0.06056755633725871,0.029574274554244807,443.7570192743335,0.9716887309842235,448.3920730387671,0.9818380453945535,287.8953009046746,0.6304004386225708,338.93112355576466,0.7421528878067405,457.0295857988166,1.000751490023322,-9.565522803357368,-0.020945495643526758,-4.647640862408474,-0.010176876208176111,-5.368621745053128,-0.011755598275641082
ufjqc0qr,RodentEncDec_delay5_eff5-20260623-085807,emiwar-team/nnx-ppo-rodent-delays,54643764,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,old_eval,169,250,502,2024.4908661249826,356.5220967634903,471.55029585798815,4.715502958579881,0.9393432188406139,4.293266028900292,0.9349112426035503,0.013803142097073732,0.03550295857988166,0.029585798816568046,0.0,0.0,0.008408484860710734,3.4078560286848445,1.3405945255800027,38.074099237393284,0.056034941444496465,0.02736120779931004,458.44057979809463,0.9721986897791246,463.95665749995663,0.9838964402636736,298.00641778799206,0.631971648423564,351.54022467065846,0.7454988953639171,472.2721893491124,1.0015308939416754,-9.77684619581911,-0.020733411221872076,-4.675593738725199,-0.009915365931894779,-5.272817369043475,-0.011181876918239563
yydt97hg,RodentEncDec_delay5_eff5-20260610-095336,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,old_eval,169,250,502,2066.9891994860045,295.44243563779287,478.14201183431953,4.781420118343195,0.952474127159999,4.322960853317015,0.9704142011834319,0.006187659332227813,0.011834319526627219,0.01775147928994083,0.0,0.0,0.00861740869942912,2.918161897314963,1.3242334482949665,37.97764460093752,0.052803798306842474,0.02538914511375224,463.7666323057999,0.9699349164626411,472.7040476601505,0.9886268848175312,305.07300874608507,0.6380384931575425,366.2134140736958,0.7659093010228769,479.03550295857985,1.0018686731183328,-9.801402612550724,-0.02049893623643136,-4.675141711912212,-0.009777726274201962,-5.326836877320645,-0.011140700347340406
zvl6ln26,RodentEncDec_delay5_eff5-20260610-102507,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,old_eval,169,250,502,2088.0445121449125,214.4520953133102,482.53846153846155,4.825384615384616,0.9612319950965369,4.3272084581354795,0.9704142011834319,0.006131283032287344,0.01775147928994083,0.011834319526627219,0.0,0.0,0.008020476589016202,2.883905016777286,1.3216726908412328,37.88107438133347,0.05107143253587062,0.024427918946559227,468.9607026816825,0.9718618101166703,477.0398764751367,0.988604877120481,309.0084349502473,0.6403809428269114,369.40759060086583,0.7655505623802417,483.42011834319527,1.0018271223436217,-9.728079247051442,-0.020160215241777257,-4.67534613609314,-0.009689064206792733,-5.388811096637206,-0.011167630201862535
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,train,673,250,502,2041.9579783378704,332.96924848507416,472.4591381872214,4.724591381872214,0.9411536617275327,4.321977951728607,0.9316493313521546,0.014467001085025077,0.03417533432392273,0.03417533432392273,0.0,0.0,0.007649948324633223,3.130991645979422,1.3141493201199297,37.55566530199665,0.0535099250096,0.025790780762015502,460.5409667084511,0.97477417512867,466.1730470501473,0.9866949527927575,304.201656378396,0.6438687111558207,358.40647547418615,0.7585978267863672,473.1381872213967,1.0014372651077947,-10.1664436239013,-0.02151814369155591,-4.819109337822289,-0.010200055302798737,-5.516840827943311,-0.01167686341957715
ufjqc0qr,RodentEncDec_delay5_eff5-20260623-085807,emiwar-team/nnx-ppo-rodent-delays,54643764,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,train,673,250,502,2072.1355497295044,286.5679246094557,478.20356612184247,4.7820356612184245,0.9525967452626344,4.333166242431452,0.9583952451708767,0.008700218437627196,0.029717682020802376,0.01337295690936107,0.0,0.0,0.007699312549507002,3.10943666007058,1.3126222494734736,37.309266541355456,0.051480265259018144,0.024822980734458967,466.1953794782619,0.9748889646704956,472.2366857287788,0.9875223005101067,308.40064199541155,0.6449149773107997,366.10510273461534,0.7655842169971077,479.0936106983655,1.0018612253014783,-10.033586667692855,-0.020981831543130686,-4.6753959771782645,-0.009776999396083572,-5.186904405236776,-0.010846645179377843
yydt97hg,RodentEncDec_delay5_eff5-20260610-095336,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,train,673,250,502,2073.090743565099,264.7054809168365,479.2734026745914,4.792734026745913,0.9547278937740865,4.325486730530401,0.9613670133729569,0.008060740782077866,0.01634472511144131,0.02526002971768202,0.0,0.0,0.008267961476942663,2.9116810125023083,1.3189129946009976,37.268719855204324,0.051815842498704745,0.024820774732873422,465.55234914158996,0.9713711350214076,473.8443360406612,0.9886722972657501,307.7730764187817,0.6421659843864694,365.74194565145257,0.7631175517156281,480.09063893016344,1.001705156703901,-9.97033246665263,-0.0208030164223866,-4.658795711012864,-0.009720538809402723,-5.282409902667574,-0.011021704674594955
zvl6ln26,RodentEncDec_delay5_eff5-20260610-102507,emiwar-team/nnx-ppo-rodent-delays,5ae9fa48,efference,5,5,42,,current_root,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,0.01,50,600064000,RodentEncDecDelays,,4222605,1082956,,train,673,250,502,2072.9761735029065,259.95527641564826,479.5037147102526,4.7950371471025255,0.9551866826897463,4.323170206836737,0.9554234769687965,0.009296387423847082,0.022288261515601784,0.0237741456166419,0.0,0.0,0.008041602653807304,2.9807952325178118,1.3212544230557801,37.19897288471602,0.05241012309907392,0.02503976856213692,466.25739415297716,0.9723749365210241,473.48784375863835,0.9874539638233054,307.5585815463697,0.6414102166699931,365.35716715893454,0.7619485646314693,480.2689450222883,1.0015958798410938,-9.890641511815087,-0.02062682980003952,-4.6858378197073405,-0.009772265940710864,-5.3772393119636295,-0.011214176547543345
