wandb_id,condition,delay,seed,step,reward_mean
arnshycb,delayed_mlp,7,i42/p1234,182599680,845.8359375
arnshycb,delayed_mlp,7,i42/p1234,187269120,869.19140625
arnshycb,delayed_mlp,7,i42/p1234,192184320,864.5625
arnshycb,delayed_mlp,7,i42/p1234,196853760,866.98046875
arnshycb,delayed_mlp,7,i42/p1234,201768960,863.38671875
arnshycb,delayed_mlp,7,i42/p1234,206438400,874.5
arnshycb,delayed_mlp,7,i42/p1234,211353600,891.2890625
arnshycb,delayed_mlp,7,i42/p1234,216023040,896.859375
arnshycb,delayed_mlp,7,i42/p1234,220938240,879.16015625
arnshycb,delayed_mlp,7,i42/p1234,225607680,872.1328125
arnshycb,delayed_mlp,7,i42/p1234,230522880,880.26953125
arnshycb,delayed_mlp,7,i42/p1234,235438080,860.3203125
arnshycb,delayed_mlp,7,i42/p1234,240107520,862.34765625
arnshycb,delayed_mlp,7,i42/p1234,245022720,891.203125
arnshycb,delayed_mlp,7,i42/p1234,249692160,847.1953125
arnshycb,delayed_mlp,7,i42/p1234,254607360,868.9921875
arnshycb,delayed_mlp,7,i42/p1234,259276800,903.484375
arnshycb,delayed_mlp,7,i42/p1234,264192000,909.6875
arnshycb,delayed_mlp,7,i42/p1234,268861440,899.76171875
arnshycb,delayed_mlp,7,i42/p1234,273776640,877.7265625
arnshycb,delayed_mlp,7,i42/p1234,278446080,905.52734375
arnshycb,delayed_mlp,7,i42/p1234,283361280,903.9296875
arnshycb,delayed_mlp,7,i42/p1234,288030720,897.421875
arnshycb,delayed_mlp,7,i42/p1234,292945920,923.91796875
arnshycb,delayed_mlp,7,i42/p1234,297615360,930.5625
arnshycb,delayed_mlp,7,i42/p1234,302530560,886.59375
arnshycb,delayed_mlp,7,i42/p1234,307200000,916.9765625
arnshycb,delayed_mlp,7,i42/p1234,312115200,894.1015625
arnshycb,delayed_mlp,7,i42/p1234,317030400,899.16015625
arnshycb,delayed_mlp,7,i42/p1234,321699840,877.89453125
arnshycb,delayed_mlp,7,i42/p1234,326615040,926.7890625
arnshycb,delayed_mlp,7,i42/p1234,331284480,928.26953125
arnshycb,delayed_mlp,7,i42/p1234,336199680,932.25
arnshycb,delayed_mlp,7,i42/p1234,340869120,933.4609375
arnshycb,delayed_mlp,7,i42/p1234,345784320,935.48828125
arnshycb,delayed_mlp,7,i42/p1234,350453760,935.984375
arnshycb,delayed_mlp,7,i42/p1234,355368960,934.59765625
arnshycb,delayed_mlp,7,i42/p1234,360038400,936.5859375
arnshycb,delayed_mlp,7,i42/p1234,364953600,937.44921875
