condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::0/state/task_obs,preprocessing,,,delta,True,,-inf,1.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::1/state/proprioception,preprocessing,,,delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::1/state/task_obs,preprocessing,,,delta,True,,-inf,1.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::2/proprioception,preprocessing,,,delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::2/task_obs,preprocessing,,,delta,True,,-inf,1.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::0/state/proprioception,preprocessing,,,proprio,False,0.999999946866706,0.999999940548422,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::0/state/task_obs,preprocessing,,,proprio,False,0.0895377604407576,0.0959748326083693,100.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::1/state/proprioception,preprocessing,,,proprio,False,0.9999999521023262,0.9999999468440952,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::1/state/task_obs,preprocessing,,,proprio,False,0.0895371305889799,0.0959884765722137,100.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::2/proprioception,preprocessing,,,proprio,False,0.9999999521023262,0.9999999468440952,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::2/task_obs,preprocessing,,,proprio,False,0.0895371305889799,0.0959884765722137,100.0,56671,24990,640
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::current_proprio,reference,,,delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::delayed_proprio,reference,,,delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/proprioception,reference,,,delta,True,,-inf,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::current_proprio,reference,,,proprio,False,0.9999999949937656,0.9999999908382958,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,input::delayed_proprio,reference,,,proprio,False,0.9999999949937656,0.9999999908382958,1.0,56671,24990,277
expfm,explicit,600000000,q7e7028r,RodentForwardModel_delay0_eff0-20260811-162018,0,600064000,layer::3/action/0/proprioception,reference,,,proprio,False,0.9999999521023262,0.9999999468440952,1.0,56671,24990,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,input::delayed_plus_efference,actor,0.0,"input
(delayed+eff)",delta,False,0.8352947276757511,0.8074868855701419,100.0,50264,21175,657
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,input::delayed_plus_efference,actor,0.0,"input
(delayed+eff)",proprio,False,0.6907124171810011,0.6444468208060425,100.0,50264,21175,657
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/0,actor,1.0,pred 1,delta,False,0.68405271081377,0.6470649307135541,100.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/0,actor,1.0,pred 1,proprio,False,0.7718268302936713,0.7399963015034616,10.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/1,actor,2.0,pred 2,delta,False,0.5883740529602697,0.5452443085757133,10.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/1,actor,2.0,pred 2,proprio,False,0.7849403281146813,0.7597089426260143,10.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/2,actor,3.0,pred 3,delta,False,0.5350496923980226,0.5096704555374544,1.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/2,actor,3.0,pred 3,proprio,False,0.8146418528283836,0.8069685960571361,10.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/3,actor,4.0,pred 4,delta,False,0.5389922406891046,0.4918123638108789,1.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/3,actor,4.0,pred 4,proprio,False,0.8438064919502333,0.8410936121486611,10.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/4,actor,5.0,p̂ (277),delta,False,0.473185435692266,0.439632135972568,1.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/predictor/4,actor,5.0,p̂ (277),proprio,False,0.8381417593130512,0.8340231687795905,1000.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/0,actor,6.0,dec 1,delta,False,0.3992933964806275,0.3599216212762673,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/0,actor,6.0,dec 1,proprio,False,0.7314184000105929,0.72077438499724,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/1,actor,7.0,dec 2,delta,False,0.3453733829553607,0.3052769159466153,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/1,actor,7.0,dec 2,proprio,False,0.6333777324269794,0.6156109539717678,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/2,actor,8.0,dec 3,delta,False,0.3095462345256941,0.2700428635951692,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/2,actor,8.0,dec 3,proprio,False,0.569553145673716,0.5516365968811,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/3,actor,9.0,dec 4,delta,False,0.2924824849821851,0.2438885428444069,1000.0,50264,21175,512
