condition,arm,wandb_id,wandb_name,state,delay_k,efference_length,seed,budget,trained_step,git_commit,walker_xml,body_target_frame,gpu,action_noise,eval_spec_id,dataset,have_eval,artifact_walker_xml,record_action_noise,n_clips,n_steps,episode_reward,episode_reward_std,reward_per_step,lifespan_steps,lifespan_s,survived,hazard_rate,joint_l2_error,joint_vel_l2_error,root_pos_distance,root_angular_error,body_errors_total,end_eff_error,fm_pred_mse
encdec,encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,failed,8,8,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,new_eval,True,rodent_no_tail_collisions.xml,0.1,32,3002,124.9966139793396,59.56630207846408,0.041637779473464226,47.21875,0.4721875,0.0,2.1178027796161483,1.395590385562083,30.82002587221387,0.04168855372937292,23.997264821323803,0.14966564468707308,0.07883080328876069,
encdec,encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,failed,8,8,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,train,True,rodent_no_tail_collisions.xml,0.25,673,502,36.80445324612939,18.56599123043667,0.07331564391659241,17.59881129271917,0.1759881129271917,0.0,5.6822019587977035,1.5737119240869015,77.6181210903455,0.05490164369747577,28.35264129298295,0.1640606899301,0.09191576479318277,
encdec,encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,failed,8,8,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,old_eval,True,rodent_no_tail_collisions.xml,0.25,169,502,35.97680876240928,17.072425393609333,0.07166694972591489,17.05325443786982,0.17053254437869822,0.0,5.863983344899376,1.577598729486302,78.957206006584,0.05421741850968952,27.817362441801528,0.16463339554696896,0.09191664317747579,
encdec,encdec,dqjh25pb,RodentEncDec_delay8_eff8-20260811-081952,failed,8,8,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,new_eval,True,rodent_no_tail_collisions.xml,0.25,32,3002,42.193972408771515,15.074212275610819,0.014055287278071791,21.21875,0.2121875,0.0,4.712812960235641,1.593455621765127,48.43789874017555,0.05055706223146275,28.742335360331623,0.15548321082196734,0.0875044257770398,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,train,True,rodent_no_tail_collisions.xml,0.0,673,502,828.9853210789311,437.96350814376984,1.6513651814321335,291.0252600297177,2.9102526002971767,0.29717682020802383,0.24149902991933012,2.4516836254592795,39.16975008548443,0.027801806850985447,13.668145510104699,0.1921201021960478,0.09492991191479978,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,rodent_no_tail_collisions.xml,0.0,169,502,723.2679883065308,421.5398393555158,1.4407728850727706,263.26627218934914,2.632662721893491,0.23668639053254437,0.28993976445203634,2.385702532025499,39.43027956830937,0.0292635743785866,15.873931740279993,0.1998794687909112,0.09916778293323762,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,rodent_no_tail_collisions.xml,0.0,32,3002,1277.9281778335571,877.3241091111983,0.4256922644348958,462.09375,4.6209375,0.0,0.21640630283357,2.5247254083193105,14.237108035713609,0.02557815633484237,13.67004474839587,0.18463905981322004,0.09326202881159758,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,train,True,rodent_no_tail_collisions.xml,0.02,673,502,734.064342175692,401.6628341579555,1.4622795660870358,269.92421991084694,2.6992421991084696,0.2540861812778603,0.2763419373661641,2.398214714137562,39.76338544684968,0.02914449407350881,15.618831219542015,0.19872307238750306,0.1002050415454851,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,old_eval,True,rodent_no_tail_collisions.xml,0.02,169,502,637.8423125588682,383.9097926946227,1.2706022162527255,242.50295857988166,2.4250295857988164,0.18343195266272194,0.3367249835297562,2.325019033329546,40.120887271232185,0.031364745945979045,16.948920414405812,0.20765245980677505,0.10488485518324979,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.02,eval3ds-n02-a4e0be11,new_eval,True,rodent_no_tail_collisions.xml,0.02,32,3002,1034.4342947006226,757.7241135989427,0.3445817104265898,388.875,3.88875,0.0,0.2571520411443266,2.5467837224951797,15.140503893761116,0.0278336504287075,17.121389031658726,0.20536819715924504,0.10546747721950855,
