wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,fm_pred_mse_p25,fm_pred_mse,fm_pred_mse_p75,actual_step,condition,fm_trained
8xa617so,RodentForwardModel_delay20_eff20-20260622-091043,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Sweeping forward model loss weight.,AbsoluteImitation,20,20,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,752.1478881835938,573.0020141601562,0.6295779943466187,0.7764142155647278,0.9965519309043884,600064000,forward_model,False
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Explicit forward model.,AbsoluteImitation,20,20,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1587.1820068359375,555.6929931640625,0.040282242000103,0.05659873411059379,0.08796857297420502,600064000,forward_model,True
7wqiu7d3,RodentForwardModel_delay25_eff25-20260619-035219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay25,eff25,warp",Explicit forward model.,AbsoluteImitation,25,25,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1559.510498046875,553.2080078125,0.04118765518069267,0.05961126089096069,0.09655910730361938,600064000,forward_model,True
g6mz0mci,RodentForwardModel_delay30_eff30-20260619-035534,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay30,eff30,warp",Explicit forward model.,AbsoluteImitation,30,30,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1501.1363525390625,579.9451904296875,0.04951825365424156,0.07375700771808624,0.11948148161172868,600064000,forward_model,True
1j36ffre,RodentForwardModel_delay40_eff40-20260619-035659,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay40,eff40,warp",Explicit forward model.,AbsoluteImitation,40,40,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1444.188720703125,560.1549072265625,0.05462346225976944,0.08158190548419952,0.12950895726680756,600064000,forward_model,True
ndmbbiw9,RodentForwardModel_delay50_eff50-20260622-091049,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Sweeping forward model loss weight.,AbsoluteImitation,50,50,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,676.13623046875,514.9046630859375,0.7061272859573364,0.866152822971344,1.1036604642868042,600064000,forward_model,False
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Explicit forward model.,AbsoluteImitation,50,50,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1345.9512939453125,589.0496826171875,0.06121931970119476,0.09267140924930573,0.14372089505195618,600064000,forward_model,True
rmeykqfj,RodentForwardModel_delay60_eff60-20260619-040528,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay60,eff60,warp",Explicit forward model.,AbsoluteImitation,60,60,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1293.4940185546875,588.5738525390625,0.06890843063592911,0.0985732227563858,0.14623597264289856,600064000,forward_model,True
5chxtk59,RodentForwardModel_delay70_eff70-20260619-040722,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",Explicit forward model.,AbsoluteImitation,70,70,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1196.955810546875,577.099853515625,0.07304812967777252,0.1043361872434616,0.1538069099187851,600064000,forward_model,True
3wnn9itz,RodentForwardModel_delay80_eff80-20260619-040733,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,warp",Explicit forward model.,AbsoluteImitation,80,80,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1211.232666015625,572.9645385742188,0.07654685527086258,0.10870305448770524,0.15873390436172485,600064000,forward_model,True
zu36pzzv,RodentForwardModel_delay90_eff90-20260619-041422,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay90,eff90,warp",Explicit forward model.,AbsoluteImitation,90,90,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1163.7845458984375,552.7642822265625,0.08642837405204773,0.12190389633178712,0.17884473502635956,600064000,forward_model,True
4dgvazws,RodentForwardModel_delay100_eff100-20260619-041703,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",Explicit forward model.,AbsoluteImitation,100,100,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1126.962646484375,545.8890991210938,0.08919724076986313,0.12489058077335358,0.18137061595916748,600064000,forward_model,True
