wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,created_at,condition,xml,walker_xml,network,control_mode,body_target_frame,delay_k,efference_length,fm_loss_weight,detach_prediction,min_std,env,seed,latent_size,kl_weight,clip_length,ctrl_dt,solver,njmax,naconmax,mujoco_impl,n_envs,total_steps,actual_step,gpu,host,reward_mean,reward_std,lifespan_mean,train_sps_median,eval_sps_median,runtime_s,inline_eval_old_eval_reward,inline_eval_new_eval_reward,inline_eval_new_eval_survived
8j703ofi,RodentEncDec_delay25_eff25-20260811-083832,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay25,eff25,warp",New XML + reference_root.,2026-08-11T12:38:40Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,25,25,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22304.rc.fas.harvard.edu,1196.625732421875,574.5333251953125,336.140625,33634.49126640463,31208.445504819058,20577.261058885,,,
2fiwhyiz,RodentEncDec_delay30_eff30-20260811-084029,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",New XML + reference_root.,2026-08-11T12:40:31Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,30,30,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12403.rc.fas.harvard.edu,1149.9036865234375,551.1651000976562,332.8291015625,55728.69468301488,46944.477567076625,14301.446754358,,,
g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",New XML + reference_root.,2026-08-11T12:47:05Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,40,40,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22304.rc.fas.harvard.edu,988.9984130859376,533.5618896484375,298.7333984375,33246.54686944757,31429.040943364744,20797.901287755,,,
d4dtnb5x,RodentEncDec_delay50_eff50-20260811-084722,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",New XML + reference_root.,2026-08-11T12:47:23Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,50,50,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22304.rc.fas.harvard.edu,892.2049560546875,488.2133483886719,281.0390625,32933.01851204627,31742.60770901543,20914.227742052,,,
n1igz0o8,RodentEncDec_delay60_eff60-20260811-084722,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",New XML + reference_root.,2026-08-11T12:47:23Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,60,60,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22304.rc.fas.harvard.edu,824.7849731445312,440.421875,273.6796875,32501.365945287886,31161.322518135283,21187.034535055,,,
cfq1srhp,RodentEncDec_delay70_eff70-20260811-094225,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",New XML + reference_root.,2026-08-11T13:42:34Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,70,70,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12503.rc.fas.harvard.edu,864.9951171875,459.7189636230469,279.234375,53642.398682878265,46437.927551357316,13443.095354254,,,
qynq5js2,RodentEncDec_delay80_eff80-20260811-094225,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",New XML + reference_root.,2026-08-11T13:42:34Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,80,80,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12502.rc.fas.harvard.edu,841.814697265625,430.5643005371094,276.7119140625,53671.552832963585,46739.62343201559,13449.038467257,,,
ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",New XML + reference_root.,2026-08-11T13:42:34Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,90,90,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12502.rc.fas.harvard.edu,833.2142944335938,420.0716857910156,277.59375,53100.815282556454,46671.5409704497,13502.44973745,,,
48llced7,RodentEncDec_delay100_eff100-20260811-094548,emiwar-team/nnx-ppo-rodent-delays,failed,ef060b73,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",New XML + reference_root.,2026-08-11T13:45:49Z,encdec_new_reference,new,rodent_no_tail_collisions.xml,efference,torque,reference_root,100,100,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12401.rc.fas.harvard.edu,772.5211181640625,387.5348815917969,258.546875,52859.07117915169,47243.21348732435,13575.604007304,,,
734woltb,RodentEncDec_delay0_eff0-20260612-065718,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Train-eval split,2026-06-12T10:57:30Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,0,0,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA A100-SXM4-80GB,holygpu8a22202.rc.fas.harvard.edu,2004.005615234375,142.3390350341797,446.1865234375,35284.944675637555,34593.91332082258,19684.790802171,,,
