wandb_id,condition,task,delay,seed,step,reward_mean
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,63651840,810.5948486328125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,64389120,801.2030639648438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,64880640,788.3284912109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,65617920,801.1202392578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,66109440,811.3577880859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,66600960,830.3885498046875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,67338240,844.7064208984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,67829760,844.914306640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,68567040,838.5113525390625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,69058560,836.625732421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,69795840,836.5130615234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,70287360,831.8023681640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,71024640,829.4263916015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,71516160,829.4105224609375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,72007680,833.3331909179688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,72744960,823.583984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,73236480,815.9813842773438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,73973760,823.787841796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,74465280,827.6969604492188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,75202560,821.78564453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,75694080,824.8858642578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,76431360,827.387939453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,76922880,827.6318359375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,77414400,831.47509765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,78151680,833.2146606445312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,78643200,830.2740478515625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,79380480,827.9559936523438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,79872000,824.3843383789062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,80609280,817.88525390625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,81100800,813.8133544921875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,81838080,812.2794799804688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,82329600,804.0283203125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,82821120,537.9351806640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,83558400,628.2403564453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,84049920,637.8453369140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,84787200,620.1771240234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,85278720,574.133056640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,86016000,538.923828125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,86507520,544.6259765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,87244800,568.1829223632812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,87736320,585.2184448242188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,88227840,597.5809326171875
