condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,delay,efference_length,seed,min_std,actual_step,ctrl_dt,reward_source,reward_last_point,reward_final,reward_final_n,reward_max,reward_max_step,curve_points,curve_max_step
flat_forward_model,HumanoidWalk,w6j5kgrw,HumanoidWalk_FlatForwardModel_delay10_eff10-20260909-111225,2026-09-09T15:12:36Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,10,10,42,0.001,480215040.0,0.025,dmc_eval,252.3212127685547,158.08559626624697,84,252.3212127685547,480215040,800,480215040
flat_forward_model,HumanoidWalk,3952837u,HumanoidWalk_FlatForwardModel_delay12_eff12-20260909-111225,2026-09-09T15:12:36Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,12,12,42,0.001,480215040.0,0.025,dmc_eval,78.61036682128906,59.49473081316267,84,84.5565185546875,98549760,190,114032640
flat_forward_model,HumanoidWalk,5xotyi8w,HumanoidWalk_FlatForwardModel_delay15_eff15-20260909-082205,2026-09-09T12:22:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,15,15,42,0.001,480215040.0,0.025,dmc_eval,83.34050750732422,85.43821997869583,84,105.00277709960938,404520960,800,480215040
flat_forward_model,HumanoidWalk,savvtr0o,HumanoidWalk_FlatForwardModel_delay20_eff20-20260909-082226,2026-09-09T12:22:27Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,20,20,42,0.001,480215040.0,0.025,dmc_eval,99.68265533447266,102.15224829174224,84,122.6264419555664,450723840,800,480215040
delayed_mlp,WalkerWalk,msj9aand,WalkerWalk_DelayedMLP_delay0_eff0-20260909-065037,2026-09-09T10:50:38Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,42,0.001,480215040.0,0.025,dmc_eval,978.1143188476562,977.3923783075242,84,978.273681640625,478986240,800,480215040
delayed_mlp,WalkerWalk,ln7wa5w0,WalkerWalk_DelayedMLP_delay5_eff5-20260909-065042,2026-09-09T10:50:43Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,42,0.001,480215040.0,0.025,dmc_eval,966.998779296875,966.9981696719215,84,967.947021484375,477020160,800,480215040
delayed_mlp,WalkerWalk,sbt8k29r,WalkerWalk_DelayedMLP_delay7_eff7-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,7,7,42,0.001,480215040.0,0.025,dmc_eval,952.1489868164062,949.826166062128,84,953.1265258789062,471121920,800,480215040
delayed_mlp,WalkerWalk,eldxqhi6,WalkerWalk_DelayedMLP_delay10_eff10-20260909-065229,2026-09-09T10:52:31Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,42,0.001,480215040.0,0.025,dmc_eval,728.0774536132812,695.0199810209729,84,728.0774536132812,480215040,800,480215040
delayed_mlp,WalkerWalk,t3sip7o4,WalkerWalk_DelayedMLP_delay15_eff15-20260909-065127,2026-09-09T10:51:30Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,15,15,42,0.001,480215040.0,0.025,dmc_eval,411.50140380859375,407.7897698538644,84,412.3770446777344,477020160,800,480215040
delayed_mlp,WalkerWalk,nr9ad1y5,WalkerWalk_DelayedMLP_delay20_eff20-20260909-065229,2026-09-09T10:52:31Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,20,20,42,0.001,480215040.0,0.025,dmc_eval,542.9658203125,540.2322031656901,84,545.436767578125,474071040,800,480215040
flat_forward_model,WalkerWalk,ojyv7y0b,WalkerWalk_FlatForwardModel_delay0_eff0-20260909-065916,2026-09-09T10:59:22Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,0,0,42,0.001,480215040.0,0.025,dmc_eval,976.6784057617188,976.5499035063244,84,977.2876586914062,472350720,800,480215040
flat_forward_model,WalkerWalk,byx8gn30,WalkerWalk_FlatForwardModel_delay2_eff2-20260909-065817,2026-09-09T10:58:18Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,2,2,42,0.001,480215040.0,0.025,dmc_eval,977.6982421875,976.7931256975446,84,977.7381591796876,476528640,800,480215040
flat_forward_model,WalkerWalk,6xh19whl,WalkerWalk_FlatForwardModel_delay5_eff5-20260909-065826,2026-09-09T10:58:27Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,5,5,42,0.001,480215040.0,0.025,dmc_eval,974.1629638671876,973.8686668759301,84,975.338134765625,460800000,800,480215040
flat_forward_model,WalkerWalk,0y0gvn9t,WalkerWalk_FlatForwardModel_delay7_eff7-20260909-111643,2026-09-09T15:16:45Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA H200,7,7,42,0.001,480215040.0,0.025,dmc_eval,971.85400390625,971.141834077381,84,972.181884765625,458588160,800,480215040
flat_forward_model,WalkerWalk,ihmu33v6,WalkerWalk_FlatForwardModel_delay7_eff7-20260909-082055,2026-09-09T12:21:07Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,7,7,42,0.001,480215040.0,0.025,dmc_eval,969.6324462890624,969.9743223644439,84,970.9832763671876,462028800,800,480215040
flat_forward_model,WalkerWalk,2r98flil,WalkerWalk_FlatForwardModel_delay10_eff10-20260909-065916,2026-09-09T10:59:22Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,10,10,42,0.001,480215040.0,0.025,dmc_eval,966.4554443359376,966.2984343029204,84,967.6180419921876,477020160,800,480215040
flat_forward_model,WalkerWalk,s3m12gft,WalkerWalk_FlatForwardModel_delay15_eff15-20260909-065936,2026-09-09T10:59:37Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,15,15,42,0.001,480215040.0,0.025,dmc_eval,959.6841430664062,959.9154532296317,84,962.2147827148438,477757440,800,480215040
flat_forward_model,WalkerWalk,06qarzob,WalkerWalk_FlatForwardModel_delay20_eff20-20260909-065926,2026-09-09T10:59:27Z,971ab99eb3a6d6f27c375a229796d9c40cc92f04,NVIDIA A100-SXM4-80GB,20,20,42,0.001,480215040.0,0.025,dmc_eval,814.2147216796875,809.6801728748139,84,815.2144775390625,478248960,800,480215040
