wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,seed,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,eval/episode_reward/mean,eval/episode_reward/std,eval/lifespan/mean,actual_step,condition,git_short,episode_reward_mean,episode_reward_std,lifespan_mean
u9j3se06,RodentEncDec_delay9_eff9-20260611-120839,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",Train-eval split,AbsoluteImitation,9,9,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1833.096435546875,331.099853515625,,,,600064000,baseline,1cd5838f,1833.096435546875,331.099853515625,
k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",Train-eval split,AbsoluteImitation,10,10,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1789.60986328125,376.0146789550781,,,,600064000,baseline,1cd5838f,1789.60986328125,376.0146789550781,
xj1agjno,RodentEncDec_delay15_eff15-20260611-120902,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",Train-eval split,AbsoluteImitation,15,15,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1592.833984375,512.7891235351562,,,,600064000,baseline,1cd5838f,1592.833984375,512.7891235351562,
gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",Train-eval split,AbsoluteImitation,20,20,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1435.531005859375,590.2176513671875,,,,600064000,baseline,1cd5838f,1435.531005859375,590.2176513671875,
w2498exh,RodentEncDec_delay30_eff30-20260611-120904,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",Train-eval split,AbsoluteImitation,30,30,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1327.683349609375,564.8617553710938,,,,600064000,baseline,1cd5838f,1327.683349609375,564.8617553710938,
rv3u3x7n,RodentEncDec_delay40_eff40-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",Train-eval split,AbsoluteImitation,40,40,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1232.233642578125,572.444580078125,,,,600064000,baseline,1cd5838f,1232.233642578125,572.444580078125,
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",Train-eval split,AbsoluteImitation,50,50,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,1045.143310546875,559.1459350585938,,,,600064000,baseline,1cd5838f,1045.143310546875,559.1459350585938,
y7dh46ee,RodentEncDec_delay60_eff60-20260611-120954,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",Train-eval split,AbsoluteImitation,60,60,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,992.5313110351562,530.5802001953125,,,,600064000,baseline,1cd5838f,992.5313110351562,530.5802001953125,
oe9lq9ej,RodentEncDec_delay70_eff70-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",Train-eval split,AbsoluteImitation,70,70,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,878.22802734375,466.50384521484375,,,,600064000,baseline,1cd5838f,878.22802734375,466.50384521484375,
fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",Train-eval split,AbsoluteImitation,80,80,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,871.5228881835938,463.3311767578125,,,,600064000,baseline,1cd5838f,871.5228881835938,463.3311767578125,
2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",Train-eval split,AbsoluteImitation,90,90,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,789.737548828125,413.3051452636719,,,,600064000,baseline,1cd5838f,789.737548828125,413.3051452636719,
fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",Train-eval split,AbsoluteImitation,100,100,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,772.2216796875,408.118896484375,,,,600064000,baseline,1cd5838f,772.2216796875,408.118896484375,
tpu71gzv,RodentEncDec_delay0_eff0-20260626-065828,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Trying new version of nnx-ppo [git 4ed1f36].,AbsoluteImitation,0,0,42,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,2001.723388671875,149.0350341796875,445.8115234375,600064000,new_code_old_seed,714cc735,2001.723388671875,149.0350341796875,445.8115234375
40u7tari,RodentEncDec_delay0_eff0-20260626-065951,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,0,0,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,2000.877685546875,158.27391052246094,445.494140625,600064000,new_seed,714cc735,2000.877685546875,158.27391052246094,445.494140625
gpp39bir,RodentEncDec_delay1_eff1-20260626-065958,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay1,eff1,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,1,1,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1978.384521484375,190.83287048339844,443.7158203125,600064000,new_seed,714cc735,1978.384521484375,190.83287048339844,443.7158203125
dn6nr05x,RodentEncDec_delay2_eff2-20260626-070015,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,2,2,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1962.798095703125,207.3157958984375,442.3427734375,600064000,new_seed,714cc735,1962.798095703125,207.3157958984375,442.3427734375
mas9mcgd,RodentEncDec_delay3_eff3-20260626-070027,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay3,eff3,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,3,3,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1951.4461669921875,224.77462768554688,441.91796875,600064000,new_seed,714cc735,1951.4461669921875,224.77462768554688,441.91796875
rlsz0bl2,RodentEncDec_delay4_eff4-20260626-070041,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,4,4,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1924.519287109375,229.73377990722656,439.9677734375,600064000,new_seed,714cc735,1924.519287109375,229.73377990722656,439.9677734375
n1agmrpp,RodentEncDec_delay5_eff5-20260626-071632,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,5,5,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1913.8424072265625,259.05303955078125,438.4521484375,600064000,new_seed,714cc735,1913.8424072265625,259.05303955078125,438.4521484375
mrtc3zrb,RodentEncDec_delay6_eff6-20260626-083702,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,6,6,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1876.234619140625,300.36181640625,433.572265625,600064000,new_seed,714cc735,1876.234619140625,300.36181640625,433.572265625
vt1fcsf1,RodentEncDec_delay7_eff7-20260626-083702,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,7,7,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1868.750244140625,289.550048828125,434.138671875,600064000,new_seed,714cc735,1868.750244140625,289.550048828125,434.138671875
jxz4a3jv,RodentEncDec_delay8_eff8-20260626-084226,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,8,8,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1855.4154052734375,303.733154296875,433.541015625,600064000,new_seed,714cc735,1855.4154052734375,303.733154296875,433.541015625
k9xso46r,RodentEncDec_delay9_eff9-20260626-070712,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,9,9,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1852.68310546875,289.663330078125,434.6337890625,600064000,new_seed,714cc735,1852.68310546875,289.663330078125,434.6337890625
5xtvxhqd,RodentEncDec_delay12_eff12-20260626-084254,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay12,eff12,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,12,12,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1704.10888671875,458.8436584472656,406.982421875,600064000,new_seed,714cc735,1704.10888671875,458.8436584472656,406.982421875
8e0pj5qj,RodentEncDec_delay15_eff15-20260626-084433,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,15,15,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1552.4375,544.5086059570312,381.0576171875,600064000,new_seed,714cc735,1552.4375,544.5086059570312,381.0576171875
fku7oyos,RodentEncDec_delay20_eff20-20260626-084448,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,20,20,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1417.4356689453125,586.8736572265625,361.3095703125,600064000,new_seed,714cc735,1417.4356689453125,586.8736572265625,361.3095703125
8ndeqcqx,RodentEncDec_delay25_eff25-20260626-084730,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay25,eff25,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,25,25,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1388.701904296875,591.38720703125,360.1240234375,600064000,new_seed,714cc735,1388.701904296875,591.38720703125,360.1240234375
te99j7ct,RodentEncDec_delay30_eff30-20260626-090428,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,30,30,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1292.13232421875,600.0935668945312,343.337890625,600064000,new_seed,714cc735,1292.13232421875,600.0935668945312,343.337890625
bka0b980,RodentEncDec_delay40_eff40-20260626-100625,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,40,40,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1119.6636962890625,563.7786254882812,313.6279296875,600064000,new_seed,714cc735,1119.6636962890625,563.7786254882812,313.6279296875
n6d7qpvr,RodentEncDec_delay50_eff50-20260626-102246,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,50,50,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,1019.9793090820312,562.4545288085938,292.2734375,600064000,new_seed,714cc735,1019.9793090820312,562.4545288085938,292.2734375
6bqcmwxo,RodentEncDec_delay60_eff60-20260626-102704,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,60,60,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,902.5078735351562,517.9223022460938,264.3701171875,600064000,new_seed,714cc735,902.5078735351562,517.9223022460938,264.3701171875
gqqayp35,RodentEncDec_delay70_eff70-20260626-102913,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,70,70,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,882.5833740234375,509.1409912109375,257.22265625,600064000,new_seed,714cc735,882.5833740234375,509.1409912109375,257.22265625
vylrr3rt,RodentEncDec_delay80_eff80-20260626-102913,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,80,80,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,792.0061645507812,448.6979370117187,234.0576171875,600064000,new_seed,714cc735,792.0061645507812,448.6979370117187,234.0576171875
yjzq9ahu,RodentEncDec_delay90_eff90-20260626-104146,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,90,90,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,791.114013671875,429.22369384765625,236.822265625,600064000,new_seed,714cc735,791.114013671875,429.22369384765625,236.822265625
qjmddtvr,RodentEncDec_delay100_eff100-20260626-104224,nnx-ppo-rodent-delays,finished,714cc735bfce36e3355486493b927796cddf9d8f,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",Trying new version of nnx-ppo [git 4ed1f36] + new seed.,AbsoluteImitation,100,100,43,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",4096,600000000,,,765.983642578125,409.8028869628906,226.279296875,600064000,new_seed,714cc735,765.983642578125,409.8028869628906,226.279296875
